Year,Viral_RNA_tests,Antibody_tests,Other
12_March,3,0,0
13_March,4,0,0
14_March,4,0,0
15_March,4,0,0
16_March,6,0,0
17_March,8,0,0
18_March,9,0,0
19_March,11,0,0
20_March,13,0,0
21_March,13,0,0
22_March,13,0,0
23_March,15,0,0
24_March,16,0,0
25_March,17,0,0
26_March,18,0,0
27_March,20,0,0
28_March,20,0,0
29_March,20,0,0
30_March,22,0,0
31_March,22,0,0
01_April,23,1,0
02_April,24,1,0
03_April,27,1,0
04_April,27,1,0
05_April,27,1,0
06_April,28,1,0
07_April,29,1,0
08_April,31,1,0
09_April,31,1,0
10_April,33,1,0
11_April,33,1,0
12_April,33,1,0
13_April,33,1,0
14_April,34,2,0
15_April,34,3,0
16_April,36,3,0
17_April,37,3,0
18_April,38,3,0
19_April,38,3,0
20_April,39,3,0
21_April,40,3,0
22_April,41,3,0
23_April,42,3,0
24_April,42,5,0
25_April,42,5,0
26_April,42,6,0
27_April,43,6,0
28_April,43,6,0
29_April,45,7,0
30_April,45,8,0
1_May,47,8,0
2_May,47,9,0
3_May,47,9,0
4_May,48,10,0
5_May,49,10,0
6_May,52,10,0
7_May,53,10,0
8_May,54,10,1
9_May,54,10,1
10_May,54,10,1
11_May,56,10,1
12_May,56,10,1
13_May,57,10,1
14_May,59,10,1
15_May,61,10,2
16_May,61,10,2
17_May,61,10,2
18_May,63,10,2
19_May,63,10,2
20_May,63,10,2
21_May,67,10,2
22_May,69,10,2
23_May,69,10,2
24_May,69,10,2
25_May,69,10,2
26_May,69,10,2
27_May,69,10,2
28_May,70,10,2
29_May,70,13,2
30_May,70,13,2
31_May,70,13,2
1_June,71,13,2
2_June,71,13,3
3_June,71,13,3
4_June,72,15,3
5_June,73,15,3
6_June,73,15,3
7_June,73,15,3
8_June,74,17,3
9_June,76,17,3
10_June,79,18,3
11_June,79,18,3
12_June,80,18,3
13_June,81,18,3
14_June,81,18,3
15_June,82,19,3
16_June,82,19,3
17_June,86,19,3
18_June,86,20,3
19_June,86,21,3
20_June,86,21,3
21_June,86,21,3
22_June,86,21,3
23_June,89,22,3
24_June,90,22,3
25_June,93,22,3
26_June,94,23,3
27_June,94,23,3
28_June,94,23,3
29_June,96,23,3
30_June,98,24,4
1_July,99,24,4
2_July,100,24,5
3_July,100,24,5
4_July,100,24,5
5_July,100,24,5
6_July,101,25,5
7_July,104,25,5
8_July,105,26,5
9_July,107,26,5
10_July,108,27,5
11_July,108,27,5
12_July,108,27,5
13_July,111,28,5
14_July,114,28,5
15_July,114,28,5
16_July,115,29,5
17_July,116,30,5
18_July,116,30,5
19_July,116,30,5
20_July,116,30,5
21_July,117,30,5
22_July,117,30,5
23_July,118,30,5
24_July,119,32,5
25_July,119,32,5
26_July,119,32,5
27_July,121,32,5
28_July,121,32,5
29_July,121,32,5
30_July,122,32,5
31_July,124,34,5
1_August,124,34,5
2_August,124,34,5
3_August,129,34,5
4_August,129,34,5
5_August,130,35,5
6_August,131,37,5
7_August,132,37,5
8_August,132,37,5
9_August,132,37,5
10_August,134,37,5
11_August,136,37,5
12_August,136,37,5
13_August,137,37,5
14_August,137,37,5
15_August,138,37,5
16_August,138,37,5
17_August,139,39,6
18_August,139,39,6
19_August,139,39,6
20_August,139,39,6
21_August,142,39,6
22_August,142,39,6
23_August,142,39,6
24_August,142,39,6
25_August,144,40,7
26_August,145,40,7
27_August,145,40,7
28_August,147,40,7
29_August,147,40,7
30_August,147,40,8
31_August,151,42,8
1_September,153,42,8
2_September,154,42,8
3_September,155,43,8
4_September,156,43,8
5_September,156,43,8
6_September,156,43,8
7_September,156,43,8
8_September,157,43,8
9_September,158,45,8
10_September,158,45,8
11_September,158,45,8
12_September,158,45,8
13_September,158,45,8
14_September,159,46,8
15_September,159,46,8
16_September,160,46,8
17_September,160,46,8
18_September,161,46,8
19_September,161,46,8
20_September,161,46,8
21_September,162,46,8
22_September,164,46,8
23_September,165,47,8
24_September,166,47,8
25_September,167,48,8
26_September,167,48,8
27_September,167,48,8
28_September,167,48,8
29_September,170,51,8
30_September,172,51,8
1_October,174,51,9
2_October,175,51,10
3_October,175,51,10
4_October,175,51,10
5_October,176,51,10
6_October,177,52,10
7_October,178,52,10
8_October,178,55,12
9_October,178,55,12
10_October,178,55,12
11_October,178,55,12
12_October,178,55,12
13_October,178,55,12
14_October,179,55,13
15_October,179,55,14
16_October,179,55,14
17_October,179,55,14
18_October,179,55,14
19_October,179,55,14
20_October,179,55,15
21_October,179,55,15
22_October,179,55,15
23_October,179,55,15
24_October,179,55,16
25_October,179,55,16
26_October,180,55,16
27_October,180,55,16
28_October,180,56,17
29_October,180,56,17
30_October,180,56,17
31_October,180,56,17
1_November,180,56,17
2_November,180,56,17
3_November,180,56,17
4_November,180,56,17
5_November,180,56,17
6_November,180,57,17
7_November,180,57,17
8_November,180,57,17
9_November,180,57,17
10_November,180,57,17
11_November,180,57,17
12_November,180,57,17
13_November,180,57,17
