Response,1st_priority,2nd_priority,3rd_priority
Careless_or_unaware_employees,37,22,15
Cyber_attacks_to_steal_financial_information,33,23,21
Outdated_information_security_controls_or_architecture,31,16,16
Cyber_attacks_to_disrupt_or_deface_the_organization,30,22,13
Fraud,26,27,16
Natural_disasters,26,16,20
Malware,22,26,24
Cyber_attacks_to_steal_intellectual_property_or_data,20,21,25
Vulnerabilities_related_to_mobile_computing_use,16,22,22
Vulnerabilities_related_to_cloud_computing_use,16,21,21
Espionage,15,29,13
Phishing,14,23,26
Unauthorized_access,11,18,21
Spam,11,16,22
Internal_attacks,9,19,28
Vulnerabilities_related_to_social_media_use,4,15,23
