Year,2011,2012,2013,2014,2015,2016,2017,2018
FC_Bayern_München,493,786,860,896,933,867,1222,1406
Borussia_Dortmund,125,227,260,327,326,280,519,587
FC_Schalke_04,135,266,259,313,302,223,338,384
RasenBallsport_Leipzig,0,0,0,0,0,0,145,347
Bayer_04_Leverkusen,0,64,90,116,135,175,332,273
VfL_Wolfsburg,0,66,82,91,116,119,256,266
Borussia_Mönchengladbach,0,0,0,0,86,173,208,262
Eintracht_Frankfurt,0,0,0,0,0,0,140,172
1899_Hoffenheim,0,0,0,0,0,0,194,166
Hertha_BSC_Berlin,0,55,0,0,0,123,159,165
SV_Werder_Bremen,68,68,79,94,88,110,155,156
FC_Augsburg,0,0,0,0,0,0,0,133
FSV_Mainz_05,0,0,0,0,0,92,0,123
Hamburger_SV,134,153,144,138,103,152,163,0
1.FC_Köln,0,0,0,0,0,0,162,0
VfB_Stuttgart,81,71,83,102,121,95,171,0
