Month,Rt
Dec_19,1.02
Dec_18,1.01
Dec_17,1.0
Dec_16,0.99
Dec_15,0.98
Dec_14,0.97
Dec_13,0.98
Dec_12,0.94
Dec_11,0.95
Dec_10,0.97
Dec_9,0.95
Dec_8,0.98
Dec_7,0.95
Dec_6,0.91
Dec_5,0.87
Dec_4,0.83
Dec_3,0.8
Dec_2,0.81
Dec_1,0.79
Nov_30,0.8
Nov_29,0.81
Nov_28,0.81
Nov_27,0.79
Nov_26,0.79
Nov_25,0.79
Nov_24,0.78
Nov_23,0.77
Nov_22,0.76
Nov_21,0.75
Nov_20,0.77
Nov_19,0.8
Nov_18,0.78
Nov_17,0.81
Nov_16,0.85
Nov_15,0.86
Nov_14,0.86
Nov_13,0.84
Nov_12,0.83
Nov_11,0.84
Nov_10,0.84
Nov_09,0.89
Nov_08,0.91
Nov_07,0.94
Nov_06,0.99
Nov_05,1.04
Nov_04,1.09
Nov_03,1.15
Nov_02,1.15
Nov_01,1.19
Oct_31,1.24
Oct_30,1.31
Oct_29,1.37
Oct_28,1.43
Oct_27,1.44
Oct_26,1.46
Oct_25,1.49
Oct_24,1.52
Oct_23,1.53
Oct_22,1.46
Oct_21,1.45
Oct_20,1.47
Oct_19,1.45
Oct_18,1.52
Oct_17,1.56
Oct_16,1.52
Oct_15,1.55
Oct_14,1.49
Oct_13,1.45
Oct_12,1.4
Oct_11,1.39
Oct_10,1.41
Oct_09,1.34
Oct_08,1.26
Oct_07,1.24
Oct_06,1.19
Oct_05,1.19
Oct_04,1.16
Oct_03,1.09
Oct_02,1.07
Oct_01,1.11
Sep_30,1.13
Sep_29,1.13
Sep_28,1.13
Sep_27,1.17
Sep_26,1.25
Sep_25,1.35
Sep_24,1.37
Sep_23,1.34
Sep_22,1.32
Sep_21,1.33
Sep_20,1.31
Sep_19,1.38
Sep_18,1.39
Sep_17,1.38
Sep_16,1.35
Sep_15,1.34
Sep_14,1.41
Sep_13,1.47
Sep_12,1.36
Sep_11,1.28
Sep_10,1.25
Sep_09,1.21
Sep_08,1.26
Sep_07,1.13
Sep_06,1.05
Sep_05,1.03
Sep_04,0.95
Sep_03,0.94
Sep_02,0.97
Sep_01,0.88
Aug_31,0.74
Aug_30,0.7
Aug_29,0.67
Aug_28,0.73
Aug_27,0.74
Aug_26,0.74
Aug_25,0.79
Aug_24,0.85
Aug_23,0.82
Aug_22,0.85
Aug_21,0.89
Aug_20,0.88
Aug_19,0.94
Aug_18,0.92
Aug_17,1.02
Aug_16,1.14
Aug_15,1.13
Aug_14,1.15
Aug_13,1.19
Aug_12,1.17
Aug_11,1.27
Aug_10,1.14
Aug_09,1.12
Aug_08,1.17
Aug_07,1.16
Aug_06,1.07
Aug_05,1.02
Aug_04,0.99
Aug_03,1.12
Aug_02,1.11
Aug_01,1.08
Jul_31,1.11
Jul_30,1.33
Jul_29,1.48
Jul_28,1.44
Jul_27,1.23
Jul_26,1.24
Jul_25,1.34
Jul_24,1.45
Jul_23,1.27
Jul_22,1.16
Jul_21,1.09
Jul_20,1.34
Jul_19,1.35
Jul_18,1.26
Jul_17,1.06
Jul_16,1.03
Jul_15,1.0
Jul_14,0.98
Jul_13,0.91
Jul_12,0.88
Jul_11,0.85
Jul_10,0.91
Jul_09,0.87
Jul_08,0.88
Jul_07,0.85
Jul_06,0.84
Jul_05,0.84
Jul_04,0.79
Jul_03,0.77
Jul_02,0.88
Jul_01,0.93
Jun-30,0.97
Jun-29,0.9
Jun_28,0.87
Jun_27,0.87
Jun_26,0.88
Jun_25,0.87
Jun_24,0.85
Jun_23,0.85
Jun_22,0.93
Jun_21,0.9
Jun_20,0.92
Jun_19,0.85
Jun_18,0.85
Jun_17,0.91
Jun_16,0.88
Jun_15,0.85
Jun_14,0.85
Jun_13,0.86
Jun_12,0.89
Jun_11,0.87
Jun_10,0.84
Jun_09,0.81
Jun_08,0.81
Jun_07,0.82
Jun_06,0.8
Jun_05,0.84
Jun_04,0.81
Jun_03,0.76
Jun-02,0.83
Jun_01,0.81
May_31,0.82
May_30,0.78
May_29,0.76
May_28,0.73
May_27,0.78
May_26,0.8
May_25,0.83
May_24,0.82
May_23,0.83
May_22,0.83
May_21,0.88
May_20,0.87
May_19,0.86
May_18,0.85
May_17,0.79
May_16,0.78
May_15,0.78
May_14,0.76
May_13,0.78
May_12,0.77
May_11,0.79
May_10,0.8
May_09,0.74
May_08,0.68
May_07,0.69
May_06,0.69
May_05,0.71
May_04,0.72
May_03,0.7
May_02,0.71
May_01,0.77
Apr_30,0.79
Apr_29,0.79
Apr_28,0.77
Apr_27,0.79
Apr_26,0.78
Apr_25,0.8
Apr_24,0.8
Apr_23,0.81
Apr_22,0.84
Apr_21,0.84
Apr_20,0.8
Apr_19,0.78
Apr_18,0.76
Apr_17,0.77
Apr_16,0.77
Apr_15,0.79
Apr_14,0.81
Apr_13,0.87
Apr_12,0.86
Apr_11,0.87
Apr_10,0.87
Apr_09,0.88
Apr_08,0.89
Apr_07,0.91
Apr_06,0.92
Apr_05,0.98
Apr_04,1.06
Apr_03,1.15
Apr_02,1.24
Apr_01,1.31
Mar_31,1.42
Mar_30,1.53
Mar_29,1.63
Mar_28,1.73
Mar_27,1.84
Mar_26,1.98
Mar_25,2.16
Mar_24,2.3
Mar_23,2.62
