Year,Number_of_deaths
5_Jan_21,51430
4_Jan_21,51078
31_Dec,50837
30_Dec,50689
29_Dec,50442
28_Dec,50122
24_Dec,49824
23_Dec,49698
22_Dec,49520
21_Dec,49260
18_Dec,48926
17_Dec,48777
16_Dec,48596
15_Dec,48401
14_Dec,48013
11_Dec,47624
10_Dec,47344
9_Dec,47019
7_Dec,46646
4_Dec,46252
3_Dec,46038
2_Dec,45784
1_Dec,45511
30_Nov,45069
27_Nov,44668
26_Nov,44374
25_Nov,44037
24_Nov,43668
23_Nov,43131
20_Nov,42619
19_Nov,42291
18_Nov,42039
17_Nov,41688
16_Nov,41253
13_Nov,40769
12_Nov,40461
11_Nov,40105
10_Nov,39756
9_Nov,39345
6_Nov,38833
5_Nov,38486
4_Nov,38118
3_Nov,36495
2_Nov,36257
30_Oct,35878
29_Oct,35639
28_Oct,35466
27_Oct,35298
26_Oct,35031
23_Oct,34752
22_Oct,34521
21_Oct,34366
20_Oct,34210
19_Oct,33992
16_Oct,33775
15_Oct,33553
14_Oct,33413
13_Oct,33204
12_Oct,33124
9_Oct,32929
8_Oct,32688
7_Oct,32562
6_Oct,32486
5_Oct,32225
2_Oct,32086
1_Oct,31973
30_Sep,31791
29_Sep,31614
28_Sep,31411
25_Sep,31232
24_Sep,31118
23_Sep,31034
22_Sep,30904
21_Sep,30663
18_Sep,30495
17_Sep,30405
16_Sep,30243
15_Sep,30004
14_Sep,29848
11_Sep,29747
10_Sep,29699
9_Sep,29628
8_Sep,29594
7_Sep,29516
4_Sep,29418
3_Sep,29234
2_Sep,29194
1_Sep,29152
31_Aug,29094
28_Aug,29011
27_Aug,28996
26_Aug,28971
25_Aug,28924
24_Aug,28872
21_Aug,28838
20_Aug,28813
19_Aug,28797
18_Aug,28670
17_Aug,28646
14_Aug,28617
13_Aug,28605
12_Aug,28579
11_Aug,28581
10_Aug,28576
7_Aug,28503
6_Aug,28500
5_Aug,28499
4_Aug,28498
3_Aug,28472
31_Jul,28445
30_Jul,28443
29_Jul,28441
28_Jul,28436
27_Jul,28434
24_Jul,28432
23_Jul,28429
22_Jul,28426
21_Jul,28424
20_Jul,28422
17_Jul,28420
16_Jul,28416
15_Jul,28413
14_Jul,28409
13_Jul,28406
10_Jul,28403
9_Jul,28401
8_Jul,28396
7_Jul,28392
6_Jul,28388
3_Jul,28385
2_Jul,28368
1_Jul,28363
30_Jun,28355
29_Jun,28346
28_Jun,28343
27_Jun,28342
26_Jun,28338
25_Jun,28330
24_Jun,28327
23_Jun,28325
22_Jun,28324
21_Jun,28323
20_Jun,28322
19_Jun,28315
18_Jun,27136
17_Jun,27136
16_Jun,27136
15_Jun,27136
14_Jun,27136
13_Jun,27136
12_Jun,27136
11_Jun,27136
10_Jun,27136
9_Jun,27136
8_Jun,27136
7_Jun,27136
6_Jun,27135
5_Jun,27134
4_Jun,27133
3_Jun,27128
2_Jun,27127
1_Jun,27127
31_May,27127
30_May,27125
29_May,27121
28_May,27119
27_May,27118
26_May,27117
25_May,26834
24_May,28752
23_May,28678
22_May,28628
21_May,27940
20_May,27888
19_May,27778
18_May,27709
17_May,27650
16_May,27563
15_May,27459
14_May,27321
13_May,27104
12_May,26920
11_May,26744
10_May,26621
9_May,26478
8_May,26299
7_May,26070
6_May,25857
5_May,25613
4_May,25428
3_May,25264
2_May,25100
1_May,24824
30_Apr,24543
29_Apr,24275
28_Apr,23822
27_Apr,23521
26_Apr,23190
25_Apr,22902
24_Apr,22524
23_Apr,22157
22_Apr,21717
21_Apr,21282
20_Apr,20852
19_Apr,20453
18_Apr,20043
17_Apr,19478
16_Apr,19130
15_Apr,18579
14_Apr,18056
13_Apr,17489
12_Apr,16972
11_Apr,16353
10_Apr,15843
9_Apr,15238
8_Apr,14555
7_Apr,13798
6_Apr,13055
5_Apr,12418
4_Apr,11744
3_Apr,10935
2_Apr,10003
1_Apr,9053
31_Mar,8189
30_Mar,7340
29_Mar,6528
28_Mar,5690
27_Mar,4858
26_Mar,4089
25_Mar,3434
24_Mar,2696
23_Mar,2182
22_Mar,1720
21_Mar,1326
20_Mar,1002
19_Mar,767
18_Mar,598
17_Mar,491
16_Mar,309
15_Mar,288
14_Mar,136
13_Mar,121
12_Mar,84
11_Mar,48
10_Mar,36
9_Mar,28
6_Mar,5
5_Mar,3
4_Mar,1
