State,"New_cases_per_100,000_population"
Mississippi,0.2
Nevada,1.2
Louisiana,1.4
West_Virginia,1.4
Florida,1.6
District_of_Columbia,1.6
South_Dakota,1.6
Delaware,1.6
Georgia,1.8
Montana,2.0
Tennessee,2.1
Maryland,2.2
Arkansas,2.3
Virginia,2.7
Connecticut,2.7
South_Carolina,2.7
Indiana,2.7
North_Carolina,2.9
Massachusetts,3.0
Alabama,3.6
Wyoming,3.6
Hawaii,3.8
California,3.8
Michigan,4.2
Arizona,4.2
New_Hampshire,4.5
Texas,4.6
Oregon,4.7
Oklahoma,4.7
New_York,4.9
Idaho,4.9
Iowa,5.1
Kansas,5.5
United_States,5.6
North_Dakota,5.8
Missouri,5.9
New_Jersey,6.3
New_Mexico,7.7
Nebraska,8.0
Illinois,8.1
Washington,8.5
Rhode_Island,8.6
Ohio,8.6
Utah,8.7
Kentucky,10.4
Pennsylvania,12.4
Colorado,12.9
Minnesota,18.4
Maine,19.5
Alaska,21.3
Wisconsin,25.0
Vermont,46.5
