Cause_of_death,Number_of_deaths
Diseases_of_the_circulatory_system,28195
Neoplasms,23453
Diseases_of_the_respiratory_system,6154
Mental_and_behavioural_disorders,6510
Diseases_of_the_nervous_system,5685
External_causes_of_morbidity_and_mortality_(injuries_and_poisonings),4884
Diseases_of_the_digestive_system,2931
Symptoms_signs_and_abnormal_clinical_and_laboratory_findings_not_elsewhere_classified,3445
Endocrine_nutritional_and_metabolic_diseases,2737
Certain_infectious_and_parasitic_diseases,2110
Diseases_of_the_genitourinary_system,1362
Poisoning_with_medicine_and_narcotics,949
Diseases_of_the_musculoskeletal_system_and_connective_tissue,456
Congenital_malformations_deformations_and_chromosomal_abnormalities,261
Diseases_of_the_blood_and_blood-forming_organs_and_certain_disorders_involving_the_immune_mechanism,302
Diseases_of_the_skin_and_subcutaneous_tissue,201
Certain_conditions_originating_in_the_perinatal_period,124
Pregnancy_childbirth_and_the_puerperium,4
Diseases_of_the_ear_and_mastoid_process,6
Diseases_of_the_eye_and_adnexa,2
