city,Number_of_people_with_income_below_the_poverty_line
New_York_city_New_York,1312028
Los_Angeles_city_California,651205
Houston_city_Texas,449733
Chicago_city_Illinois,432385
Philadelphia_city_Pennsylvania,359011
Phoenix_city_Arizona,258625
San_Antonio_city_Texas,255532
Dallas_city_Texas,232209
Detroit_city_Michigan,201766
San_Diego_city_California,153361
Columbus_city_Ohio,143363
Indianapolis_city_(balance)_Indiana,134443
Jacksonville_city_Florida,125468
El_Paso_city_Texas,125140
Austin_city_Texas,116046
Boston_city_Massachusetts,111442
Fort_Worth_city_Texas,106449
Oklahoma_City_city_Oklahoma,101536
Charlotte_city_North_Carolina,97566
Washington_city_District_of_Columbia,90534
Denver_city_Colorado,83601
San_Francisco_city_California,82356
Nashville-Davidson_metropolitan_government_(balance)_Tennessee,81325
San_Jose_city_California,71931
Seattle_city_Washington,71810
