"Company_(project_name,_location)_[development_stage_(date)]",Production_protential_in_tons_REO
Greenland_Minerals_and_Energy_(Kvanefjeld_Greenland)_[DFS_completed;_deal_signed_with_Shenghe_Resource_(August_2018_)],10.3
Commerce_Resources_(Ashram_Canada)_[Pre-feasibility_study_ongoing],4.7
Peak_Resources_(Ngualla_Tanzania)_[PFS_completed_in_2014;_awaiting_mining_licence_(August_2018)],4.6
Quest_Rare_Minerals_(Strange_Lake_Canada)_[No_active_work_on_site_(April_2014)],4.43
Avalon_Advanced_Materials_(Nechalacho_Canada)_[Definitive_feasibility_study_completed_(October_2013)],3.9
Geomega_Resources_(Montviel_Canada)_[NI_43-101_resource_estimate_completed_(June_2015)],3.5
Arafura_Resources_(Nolans_Bore_Australia)_[DFS_due_end_2018;_pilot_plant_produced_Nd-Pr_Oxide_(December_2018)],1.46
Mikango_Resources_(Songwe_Malawi)_[Feasibility_study_due_in_2019_resource_update_1Q_2019_(December_2018)],0.47
Hastings_Technology_Metals_(Yangibana_Australia)_[50_increase_in_ore_reserves;_5th_offtake_agreement_(November_2018)],0.22
Rainbow_Rare_Earths_(Gakara_Burundi)_[575_tons_of_REO_concentrate_exported_by_June_2018],0.14
Northern_Minerals_(Browns_Range_Australia)_[pilot_plant_comissioned_shipment_to_China_(December_2018)],0.06
