Month,Producer_Price_Index_(2015=100)
Dec_2019,102.31
Nov_2019,102.7
Oct_2019,103.3
Sep_2019,102.78
Aug_2019,102.69
Jul_2019,104.32
Jun_2019,103.62
May_2019,104.74
Apr_2019,104.69
Mar_2019,103.99
Feb_2019,104.3
Jan_2019,104.29
Dec_2018,104.13
Nov_2018,105.19
Oct_2018,106.31
Sep_2018,106.27
Aug_2018,105.44
Jul_2018,105.02
Jun_2018,104.5
May_2018,103.52
Apr_2018,102.22
Mar_2018,101.52
Feb_2018,102.55
Jan_2018,102.55
Dec_2017,102.38
Nov_2017,102.18
Oct_2017,101.66
Sep_2017,100.88
Aug_2017,100.28
Jul_2017,100.34
Jun_2017,100.44
May_2017,100.45
Apr_2017,100.38
Mar_2017,100.29
Feb_2017,101.29
Jan_2017,102.52
Dec_2016,100.65
Nov_2016,99.07
Oct_2016,98.89
Sep_2016,97.43
Aug_2016,97.11
Jul_2016,97.37
Jun_2016,97.36
May_2016,95.44
Apr_2016,94.68
Mar_2016,94.82
Feb_2016,94.3
Jan_2016,95.33
Dec_2015,95.33
Nov_2015,98.49
Oct_2015,98.64
Sep_2015,99.39
Aug_2015,100.3
Jul_2015,102.07
Jun_2015,101.97
May_2015,101.05
Apr_2015,100.71
Mar_2015,100.24
Feb_2015,99.79
Jan_2015,99.55
Dec_2014,100.03
Nov_2014,101.1
Oct_2014,102.28
Sep_2014,103.12
Aug_2014,102.55
Jul_2014,103.44
Jun_2014,103.38
May_2014,102.51
Apr_2014,101.65
Mar_2014,101.52
Feb_2014,101.37
Jan_2014,102.4
