State,Number_of_Pell_Grant_recipients
Florida,487305
California,362768
New_York,269407
Texas,259099
Georgia,132573
Michigan,130544
Pennsylvania,126966
Ohio,113077
Illinois,108268
Virginia,101185
North_Carolina,96912
Missouri,92077
Iowa,86368
Indiana,85829
Tennessee,80629
Utah,78834
Arizona,74994
Massachusetts,73353
New_Jersey,68544
Alabama,66507
Minnesota,62523
Wisconsin,61842
Washington,59796
Kentucky,54389
Colorado,53880
West_Virginia,52937
Louisiana,50004
Oklahoma,49794
Maryland,49148
Oregon,42135
South_Carolina,39367
Arkansas,36388
Mississippi,35686
Connecticut,34847
Kansas,33434
Nevada,33134
Idaho,32287
New_Hampshire,26711
Nebraska,17459
Maine,15788
Montana,14080
Rhode_Island,12761
District_of_Columbia,12702
Hawaii,12565
South_Dakota,12303
North_Dakota,10126
Delaware,9307
Vermont,8245
New_Mexico,6789
Alaska,6694
Wyoming,2542
