"Date,_Location",Number_of_people_affected
January_17_1994_-_Los_Angeles_California,27000
September_3_2000_-_Near_Younville_California,25174
October_18_1989_-_San_Francisco_California,3757
October_15_2006_-_Hawaii_Islands,3529
August_24_2014_-_San_Francisco_California,3250
September_21_1993_-_Klamath_Falls_Oregon,3000
October_1_1987_-_Los_Angeles-Whittier_California,2200
February_20_2008_-_Nevada,2103
May_2_1983_-_Coalinga_area_California,1545
February_9_1971_-_San_Fernando_California,1000
January_10_2010_-_Arcata_Beyview_Cutten_California,630
