Richest_people,Wealth_in_billion_yuan
Ma_Yun_&_family_(Alibaba),27.5
Ma_Huateng_(Tencent),26.0
Xu_Jiayin_(Evergrande),21.0
He_Xiangjian_&_He_Jianfeng_(Midea),18.0
Yang_Huiyan_&_family_(Country_Garden),17.5
Sun_Piaoyang_&_family_(Hengrui_Medicine),17.5
Huang_Zheng_(Pinduoduo_Online_Shopping),13.5
Ding_Lei_(NetEase),12.5
Yan_Hao_&_family_(China_Pacific_Construction),12.0
Wang_Jianlin_&_family_(Wanda),12.0
Zhang_Yong_&_Shu_Ping_(HaiDiLao),12.0
Wang_Wei_(Shunfeng_Express),11.0
Zhang_Zhidong_(Tencent),10.5
Chen_Jianhua_&_family_(Hengli),10.5
Qin_Yinglin_&_Qian_Ying_(Pig_farming),10.0
Zhang_Jindong_(Suning),10.0
Yao_Zhenhua_(Baoneng),10.0
Li_Shufu_&_family_(Geely),10.0
Wang_Wenyin_(Amer),10.0
Xu_Rongmao_&_family_(Shimao),9.5
Zhang_Yiming_(ByteDance),9.5
Lin_Li_(Liye),9.5
