Country,Average_price_in_GBP
New_York_City,346.05
Copenhagen,326.44
Amsterdam,325.89
Venice,304.91
Los_Angeles,295.06
Zurich,294.0
Dublin,290.05
Ibiza,289.84
London,265.6
Oslo,263.99
Caracus,260.35
Santa_Cruz,258.59
Edinburgh,257.4
San_Francisco,255.47
Marbella,253.71
Singapore,249.59
Barcelona,246.02
Honolulu,245.28
Paris,243.56
Stockholm,237.4
Punta_Cana,228.0
Tokyo,223.27
Dubai,213.82
Palma_de_Mallorca,210.67
Las_Vegas,209.83
Toronto,209.83
Nice,209.76
Sydney,209.22
Havana,204.2
Helsinki,199.77
