Response,Share_of_TLD_attacks
GoDaddy.com_LLC,17
NameCheap_Inc.,12
Alibaba_Cloud_Computing_(Beijing)_Co._Ltd.,10
PDR_Ltd._d/b/a_PublicDomainRegistry.com,5
Tucows_Domain_Inc.,3
Google_Inc.,3
Name.com_Inc.,3
Dynadot_LLC,2
Key-Systems_LLC,2
Chengdu_West_Dimenson_Digital_Technology_Co._Ltd.,2
Unregistrar_Corp,2
Network_Solutions_LLC,2
OVH,2
GMO_Internet_Inc._d/b/a_Onamae.com,2
Gandi_SAS,1
Registrar_of_Domain_Names_REG.RU_LLC,1
1&1_Internet_SE,1
1API_GmbH,1
NameSilo_LLC,1
Regional_Network_Information_Center_JSC_dba_RU-CENTER,1
