Month,Inflation_rate
Sep_'19,2.1
Aug_'19,3.1
Jul_'19,3
Jun_'19,2.6
May_'19,2.3
Apr_'19,2.5
Mar_'19,2.5
Feb_'19,3.1
Jan_'19,2.7
Dec_'18,2.5
Nov_'18,1.9
Oct_'18,2.2
Sep_'18,2.8
Aug_'18,2.2
Jul_'18,1.9
Jun_'18,1.9
May_'18,1.8
Apr_'18,1.6
Mar_'18,1.5
Feb_'18,0.8
Jan_'18,1.2
Dec_'17,1.3
Nov_'17,1.5
Oct_'17,1.5
Sep_'17,1.1
Aug_'17,0.6
Jul_'17,0.7
Jun_'17,0.78
May_'17,0.4
Apr_'17,0.7
Mar_'17,0.8
Feb_'17,1.6
Jan_'17,1.3
Dec_'16,0.7
Nov_'16,0.3
Oct_'16,-0.1
Sep_'16,0.5
Aug_'16,1.5
Jul_'16,1.2
Jun_'16,0.6
May_'16,1
Apr_'16,0.4
Mar_'16,0.4
Feb_'16,0.2
Jan_'16,0.4
Dec_'15,0.6
Nov_'15,0.8
Oct_'15,1
Sep_'15,0.9
Aug_'15,0.8
Jul_'15,0.4
Jun_'15,0.4
May_'15,0.4
