Month,Trade_balance_value_in_million_euros
Aug_2020,348
Jul_2020,3003
Jun_2020,1552
May_2020,1505
Apr_2020,-977
Mar_2020,602
Feb_2020,1018
Jan_2020,-394
Dec_2019,-1799
Nov_2019,-466
Oct_2019,607
Sep_2019,-99
Aug_2019,-442
Jul_2019,2087
Jun_2019,706
May_2019,1051
Apr_2019,-77
Mar_2019,-121
Feb_2019,-182
Jan_2019,-200
Dec_2018,-2153
Nov_2018,-540
Oct_2018,-166
Sep_2018,209
Aug_2018,-11
Jul_2018,1477
Jun_2018,652
May_2018,181
Apr_2018,348
Mar_2018,-27
Feb_2018,414
Jan_2018,-554
Dec_2017,-1756
Nov_2017,-995
Oct_2017,-417
Sep_2017,747
Aug_2017,425
Jul_2017,1872
Jun_2017,1138
May_2017,1681
Apr_2017,1129
Mar_2017,1074
Feb_2017,360
Jan_2017,699
