discount_store,Number_of_product_references
Vivi_Verde_Coop,604
Inaturale_Bio_Inaturale_Zerotre_Bio_-_Iper,371
Carrefour_Bio,308
Esselunga_Bio,300
Scelta_Verde_Biologico_-_Despar,248
Auchan_Bio,210
Bio_Pam_&_Panorama,202
Via_Verde_Bio_Primia_-_Agora'_Network,200
Verso_Natura_Bio,170
Natura_Chiama_Selex_La_Natura_Vale_-_Selex,160
Il_Viaggiator_Goloso_-_Unes,146
Crai_Bio,100
Bio_-_In's_Mercato,80
Bio_-_MD,74
Biodi'_-_Tuodi',74
Bennet_Bio,60
Bio_-_d.it,44
Other_brands_-_Todis,41
Bio_Organic_-_Lidl,40
Végé_-_Végé,37
Bio_-_Italy_Discount,30
Amo_Essere_Biologico_-_Eurospin,30
