Date,.,Greatest,Silent,Boomer,Gen_X,Millennial
3/25/2019,PEW,nan,18.0,16.0,17.0,19.0
12/4/2017,PEW,nan,18.0,14.0,17.0,15.0
4/11/2017,PEW,nan,14.0,20.0,22.0,19.0
10/4/2015,PEW,nan,16.0,14.0,19.0,24.0
7/20/2014,CNN,nan,11.0,10.0,14.0,19.0
2/26/2014,PEW,nan,24.0,21.0,24.0,27.0
11/15/2013,CBS/NYT,nan,13.0,16.0,15.0,21.0
10/13/2013,PEW,nan,16.0,17.0,16.0,26.0
5/31/2013,CBS/NYT,nan,20.0,15.0,18.0,29.0
2/6/2013,CBS/NYT,nan,21.0,19.0,18.0,24.0
1/13/2013,PEW,nan,23.0,23.0,24.0,32.0
10/19/2011,CBS/NYT,nan,5.0,6.0,8.0,19.0
10/4/2011,PEW,nan,16.0,16.0,19.0,26.0
9/23/2011,CNN,nan,8.0,10.0,16.0,25.0
8/21/2011,PEW,nan,15.0,16.0,17.0,25.0
3/14/2011,PEW,nan,25.0,29.0,26.0,34.0
10/21/2010,CBS/NYT,nan,20.0,17.0,27.0,23.0
10/1/2010,CBS/NYT,nan,14.0,17.0,21.0,22.0
9/6/2010,PEW,nan,22.0,20.0,25.0,29.0
9/1/2010,CNN,nan,21.0,23.0,23.0,nan
4/5/2010,CBS/NYT,nan,14.0,14.0,26.0,nan
4/1/2010,PEW,nan,22.0,22.0,20.0,37.0
3/21/2010,PEW,nan,18.0,18.0,23.0,32.0
2/12/2010,CNN,nan,26.0,25.0,25.0,nan
2/5/2010,CBS/NYT,nan,20.0,18.0,26.0,nan
1/10/2010,GALLUP,nan,16.0,14.0,19.0,32.0
12/20/2009,CNN,nan,21.0,17.0,19.0,nan
8/31/2009,CBS/NYT,nan,16.0,18.0,21.0,43.0
6/12/2009,CBS/NYT,nan,14.0,22.0,22.0,nan
12/21/2008,CNN,nan,23.0,26.0,21.0,nan
10/15/2008,NES,nan,30.0,31.0,29.0,32.0
10/13/2008,CBS/NYT,nan,14.0,11.0,14.0,nan
7/9/2007,CBS/NYT,nan,14.0,19.0,26.0,39.0
1/9/2007,PEW,nan,31.0,30.0,31.0,32.0
10/8/2006,CBS/NYT,nan,27.0,25.0,34.0,nan
9/15/2006,CBS/NYT,nan,21.0,25.0,31.0,nan
2/5/2006,PEW,nan,32.0,32.0,38.0,32.0
1/20/2006,CBS/NYT,nan,29.0,29.0,31.0,nan
1/6/2006,GALLUP,nan,29.0,30.0,33.0,nan
12/2/2005,CBS/NYT,nan,29.0,29.0,36.0,nan
9/11/2005,PEW,nan,31.0,30.0,34.0,nan
9/9/2005,CBS/NYT,nan,29.0,23.0,35.0,nan
6/19/2005,GALLUP,nan,31.0,25.0,37.0,nan
10/15/2004,NES,nan,48.0,49.0,42.0,43.0
3/21/2004,PEW,nan,35.0,37.0,34.0,44.0
10/26/2003,GALLUP,nan,34.0,36.0,38.0,nan
7/27/2003,CBS/NYT,nan,27.0,36.0,37.0,nan
10/15/2002,NES,nan,59.0,55.0,52.0,nan
9/4/2002,GALLUP,nan,35.0,47.0,51.0,nan
9/2/2002,CBS/NYT,nan,33.0,34.0,42.0,nan
7/13/2002,CBS/NYT,nan,32.0,35.0,42.0,nan
6/17/2002,GALLUP,nan,41.0,44.0,47.0,nan
1/24/2002,CBS/NYT,nan,41.0,45.0,50.0,nan
12/7/2001,CBS/NYT,nan,45.0,48.0,51.0,nan
10/25/2001,CBS/NYT,nan,49.0,56.0,56.0,nan
10/6/2001,GALLUP,nan,51.0,59.0,62.0,nan
1/17/2001,CBS/NYT,nan,32.0,31.0,33.0,nan
10/15/2000,NES,57.0,50.0,39.0,43.0,nan
7/9/2000,GALLUP,nan,40.0,39.0,44.0,nan
4/2/2000,ABC/POST,nan,30.0,26.0,33.0,nan
10/3/1999,CBS/NYT,nan,24.0,33.0,33.0,nan
9/14/1999,CBS/NYT,40.0,36.0,36.0,41.0,nan
2/12/1999,ABC/POST,nan,29.0,31.0,36.0,nan
2/4/1999,GALLUP,nan,nan,35.0,32.0,nan
1/10/1999,CBS/NYT,36.0,35.0,33.0,43.0,nan
1/3/1999,CBS/NYT,27.0,31.0,32.0,37.0,nan
12/1/1998,NES,36.0,34.0,38.0,49.0,nan
11/1/1998,CBS/NYT,22.0,22.0,27.0,24.0,nan
10/26/1998,CBS/NYT,nan,21.0,27.0,28.0,nan
8/10/1998,ABC/POST,nan,26.0,34.0,37.0,nan
2/1/1998,GALLUP,nan,37.0,29.0,45.0,nan
1/25/1998,CBS/NYT,nan,29.0,25.0,27.0,nan
10/31/1997,PEW,nan,39.0,36.0,39.0,nan
6/1/1997,GALLUP,nan,32.0,30.0,37.0,nan
1/14/1997,CBS/NYT,25.0,22.0,21.0,27.0,nan
11/2/1996,CBS/NYT,30.0,24.0,23.0,27.0,nan
10/15/1996,NES,37.0,34.0,32.0,31.0,nan
5/12/1996,GALLUP,35.0,19.0,23.0,35.0,nan
5/6/1996,ABC/POST,40.0,33.0,29.0,40.0,nan
11/19/1995,ABC/POST,28.0,18.0,26.0,28.0,nan
8/7/1995,GALLUP,15.0,23.0,23.0,23.0,nan
8/5/1995,CBS/NYT,19.0,17.0,18.0,24.0,nan
3/19/1995,ABC/POST,23.0,20.0,22.0,25.0,nan
2/22/1995,CBS/NYT,19.0,16.0,17.0,21.0,nan
12/1/1994,NES,28.0,20.0,20.0,24.0,nan
10/29/1994,CBS/NYT,25.0,19.0,20.0,24.0,nan
10/23/1994,ABC/POST,28.0,21.0,21.0,19.0,nan
6/6/1994,GALLUP,13.0,14.0,14.0,26.0,nan
1/30/1994,GALLUP,19.0,19.0,17.0,25.0,nan
1/20/1994,ABC/POST,32.0,23.0,21.0,24.0,nan
3/24/1993,GALLUP,28.0,21.0,19.0,26.0,nan
1/17/1993,ABC/POST,25.0,28.0,25.0,35.0,nan
1/14/1993,CBS/NYT,31.0,25.0,20.0,26.0,nan
10/23/1992,CBS/NYT,21.0,18.0,22.0,29.0,nan
10/15/1992,NES,28.0,29.0,29.0,30.0,nan
6/8/1992,GALLUP,21.0,11.0,26.0,30.0,nan
10/20/1991,ABC/POST,31.0,31.0,36.0,42.0,nan
