Quarter,Revenue_in_billion_euros
Q2_'20,6.74
Q1_'20,6.52
Q4_'19,8.04
Q3_'19,6.79
Q2_'19,6.63
Q1_'19,6.09
Q4_'18,7.43
Q3_'18,6.02
Q2_'18,6.0
Q1_'18,5.26
Q4_'17,6.81
Q3_'17,5.59
Q2_'17,5.78
Q1_'17,5.29
Q4_'16,6.72
Q3_'16,5.38
Q2_'16,5.24
Q1_'16,4.73
Q4_'15,6.34
Q3_'15,4.99
Q2_'15,4.97
Q1_'15,4.5
Q4_'14,5.46
Q3_'14,4.25
Q2_'14,4.15
Q1_'14,3.7
Q4_'13,5.11
Q3_'13,4.05
Q2_'13,4.06
Q1_'13,3.6
Q4_'12,5.02
Q3_'12,3.95
Q2_'12,3.9
Q1_'12,3.35
Q4_'11,4.5
Q3_'11,3.41
Q2_'11,3.3
Q1_'11,3.02
Q4_'10,4.06
Q3_'10,3.0
Q2_'10,2.89
Q1_'10,2.51
Q4_'09,3.19
Q3_'09,2.51
Q2_'09,2.58
Q1_'09,2.4
Q4_'08,3.49
Q3_'08,2.76
Q2_'08,2.86
Q1_'08,2.46
