State_/_Territory,"Reported_violent_crime_rate_per_100,000_population"
District_of_Columbia,1049.0
Alaska,867.1
New_Mexico,832.2
Tennessee,595.2
Arkansas,584.6
Louisiana,549.3
South_Carolina,511.3
Alabama,510.8
Missouri,495.0
Nevada,493.8
Arizona,455.3
Maryland,454.1
California,441.2
Michigan,437.4
Oklahoma,431.8
Delaware,422.6
Texas,418.9
Kansas,410.8
Illinois,406.9
Montana,404.9
South_Dakota,399.0
Colorado,381.0
United_States,379.4
Florida,378.4
North_Carolina,371.8
Indiana,370.8
New_York,358.6
Georgia,340.7
Massachusetts,327.6
West_Virginia,316.6
Pennsylvania,306.4
Nebraska,300.9
Washington,293.9
Wisconsin,293.2
Ohio,293.2
Hawaii,285.5
North_Dakota,284.6
Oregon,284.4
Mississippi,277.9
Iowa,266.6
Minnesota,236.4
Utah,235.6
Idaho,223.8
Rhode_Island,221.1
Wyoming,217.4
Kentucky,217.1
Virginia,208.0
New_Jersey,206.9
Vermont,202.2
Connecticut,183.6
New_Hampshire,152.5
Maine,115.2
