Convention_center,Exhibit_space_in_million_square_feet
National_Exhibition_and_Convention_Centre_(Shanghai_China),4.04
China_Import_&_Export_Fair_Complex_(Guangzhou_China),3.38
Shanghai_New_International_Expo_Centre_(Shanghai_China),2.0
Guangdong_Modern_International_Exhibition_Center_(Dongguan_China),1.5
IMPACT_Exhibition_and_Convention_Center_(Nonthaburi_Thailand),1.4
KINTEX_(Goyang-si_South_Korea),1.08
China_International_Exhibition_Center_(Beijing_China),1.07
Shenzhen_Convention_&_Exhibition_Center_(Shenzhen_China),1.05
Singapore_EXPO_Convention_Center,1.0
Suzhou_International_Expo_Center_(SuzhouExpo),1.0
