Month,Number_of_users
Jan_05_2021,63953197
Jan_04_2021,63867764
Jan_03_2021,63751223
Jan_02_2021,63652587
Jan_01_2021,63545221
Dec_31_2020,63476578
Dec_30_2020,63407664
Dec_29_2020,63321084
Dec_28_2020,63199039
Dec_27_2020,63100914
Dec_26_2020,62996327
Dec_25_2020,62874240
Dec_24_2020,62771338
Dec_23_2020,62651498
Dec_22_2020,62567166
Dec_21_2020,62445179
Dec_20_2020,62354757
Dec_19_2020,62272252
Dec_18_2020,62164118
Dec_17_2020,62047818
Dec_16_2020,61909985
Dec_15_2020,61804966
Dec_14_2020,61690250
Dec_13_2020,61598443
Dec_12_2020,61510603
Dec_11_2020,61393514
Dec_10_2020,61296788
Dec_09_2020,61173163
Dec_08_2020,61061885
Dec_07_2020,60951761
Dec_06_2020,60870532
Dec_05_2020,60800549
Dec_04_2020,60704880
Dec_03_2020,60632596
Dec_02_2020,60541444
Dec_01_2020,60467342
Nov_30_2020,60357819
Nov_29_2020,60237279
Nov_28_2020,60152825
Nov_27_2020,60040111
Nov_26_2020,59940448
Nov_25_2020,59765575
Nov_24_2020,59629098
Nov_23_2020,59454166
Nov_22_2020,59266274
Nov_21_2020,59138875
Nov_20_2020,58973416
Nov_19_2020,58795042
Nov_18_2020,58593733
Nov_17_2020,58474239
Nov_16_2020,58334504
Nov_15_2020,58186351
Nov_14_2020,57904263
Nov_13_2020,57705634
Nov_12_2020,57514505
Nov_11_2020,57265035
Nov_10_2020,57098223
Nov_09_2020,56897595
Nov_08_2020,56665004
Nov_07_2020,56369296
Nov_06_2020,56146234
Nov_05_2020,55991743
Nov_04_2020,55889516
Nov_03_2020,55795796
Nov_02_2020,55731554
Nov_01_2020,55709915
Oct_31_2020,55649649
Oct_30_2020,55631779
Oct_29_2020,55578714
Oct_28_2020,55527427
Oct_27_2020,55500633
Oct_26_2020,55413053
Oct_25_2020,55386127
Oct_24_2020,55335238
Oct_23_2020,55271863
Oct_22_2020,55229361
Oct_21_2020,55175495
Oct_20_2020,55148171
Oct_19_2020,55106842
Oct_18_2020,55041177
Oct_17_2020,55017742
Oct_16_2020,54972122
Oct_15_2020,54949726
Oct_14_2020,54861963
Oct_13_2020,54800335
Oct_12_2020,54764587
Oct_11_2020,54701746
Oct_10_2020,54670996
Oct_09_2020,54597777
Oct_08_2020,54553988
Oct_07_2020,54530005
Oct_06_2020,54483954
Oct_05_2020,54447673
Oct_04_2020,54400552
Oct_03_2020,54363474
Oct_02_2020,54342007
Oct_01_2020,54274719
Sep_30_2020,54253128
Sep_29_2020,54200481
Sep_28_2020,54156314
Sep_27_2020,54133987
Sep_26_2020,54079775
Sep_25_2020,54064452
Sep_24_2020,54017547
Sep_23_2020,53977552
Sep_22_2020,53947345
Sep_21_2020,53897442
Sep_20_2020,53874669
Sep_19_2020,53830258
Sep_18_2020,53775172
Sep_17_2020,53751874
Sep_16_2020,53703778
Sep_15_2020,53674747
Sep_14_2020,53634790
Sep_13_2020,53591694
Sep_12_2020,53575212
Sep_11_2020,53524205
Sep_10_2020,53504279
Sep_09_2020,53467691
Sep_08_2020,53425635
Sep_07_2020,53405701
Sep_06_2020,53364593
Sep_05_2020,53343526
Sep_04_2020,53307785
Sep_03_2020,53264938
Sep_02_2020,53236722
Sep_01_2020,53193624
Aug_31_2020,53172942
Aug_30_2020,53134626
Aug_29_2020,53092773
Aug_28_2020,53075277
Aug_27_2020,53033100
Aug_26_2020,53017708
Aug_25_2020,52980709
Aug_24_2020,52928509
Aug_23_2020,52905086
Aug_22_2020,52866757
Aug_21_2020,52845759
Aug_20_2020,52790178
Aug_19_2020,52748656
