Football_player,Payroll_in_thousand_U.S._dollars
Mauro__Manotas,1245.05
"Aljaz_""Kiki""__Struna",1210.0
Christian__Ramirez,666.25
Alberth__Elis,650.34
Romell__Quioto,556.5
Tomas__Martinez,517.93
Darwin__Ceren,349.38
Adam__Lundkvist,303.75
Jose__Bizama,292.43
Juan__Cabezas,292.01
DaMarcus__Beasley,275.0
AJ__DeLaGarza,253.75
Ronaldo__Pena,250.0
Matias_Gabriel__Vera,231.25
Oscar_Boniek__Garcia,183.0
Joe__Willis,172.83
Alejandro__Fuenmayor,172.51
Tyler__Deric,167.5
Thomas__McNamara,165.0
Marlon__Hairston,155.0
Memo__Rodriguez,82.75
Niko__Hansen,79.16
Erik__McCue,76.25
Kevin__Garcia,72.36
Eric__Bird,70.88
Maynor__Figueroa,70.25
Michael__Salazar,70.25
Michael__Nelson,57.23
Sam__Junqua,56.25
