NBA_player,Number_of_rebounds
Wilt_Chamberlain,23924
Bill_Russell,21620
Kareem_Abdul-Jabbar,17440
Elvin_Hayes,16279
Moses_Malone,16212
Tim_Duncan,15091
Karl_Malone,14968
Robert_Parish,14715
Kevin_Garnett,14662
Nate_Thurmond,14464
Walt_Bellamy,14241
Wes_Unseld,13769
Hakeem_Olajuwon,13748
Dwight_Howard,13691
Shaquille_O'Neal,13099
Buck_Williams,13017
Jerry_Lucas,12942
Bob_Petit,12849
Charles_Barkley,12546
Dikembe_Mutombo,12359
Paul_Silas,12357
Charles_Oakley,12205
Dennis_Rodman,11954
Kevin_Willis,11901
Patrick_Ewing,11607
Dirk_Nowitzki,11489
Elgin_Baylor,11463
Pau_Gasol,11305
Dolph_Schayes,11256
Bill_Bridges,11054
