video_game,Revenue_in_million_U.S._dollars
Playerunknown’s_Battlegrounds,600
Counter-Strike:_Global_Offensive,120
Grand_Theft_Auto_V,83
Call_of_Duty:_WWII,41
Sid_Meier's_Civilization_VI,39
The_Witcher_3:_Wild_Hunt,38
Divinity:_Original_Sin_2,37
Tom_Clancy's_Ghost_Recon_Wildlands,33
Total_War:_WARHAMMER_II,32
Middle-Earth:_Shadow_of_War,31
Tom_Clancy's_Rainbow_Six_Siege,30
NieR:_Automata,29
ARK:_Survival_Evolved,28
For_Honor,26
Assasin's_Creed_Origins,25
Resident_Evil_7,24
Dark_Souls_III,24
Rocket_League,23
Football_Manager_2018,23
Cuphead,22
