film_series,Box_office_revenue_in_million_U.S._dollars
Marvel_Cinematic_Universe,8545.43
Star_Wars,5079.12
Harry_Potter,2786.94
Batman,2783.76
Spider-Man,2711.12
Marvel_Avengers,2619.55
X-Men,2450.11
DC_Extended_Universe,2147.69
Jurassic_Park,1882.77
James_Bond,2136.67
Peter_Jackson's_Lord_of_the_Rings,1852.3
Fast_and_the_Furious,1690.75
Transformers,1582.4
Pirates_of_the_Caribbean,1451.77
Hunger_Games,1451.54
Shrek,1419.6
Star_Trek,1400.95
Twilight,1365.92
Toy_Story,1317.39
Despicable_Me,1220.25
Dark_Knight_Trilogy,1187.2
Mission:_Impossible,1154.49
Superman,1152.7
Iron_Man,1040.03
Indiana_Jones,919.84
