Musical_title_(year),Number_of_performances
Les_Misérables_(1985),14156
The_Phantom_of_the_Opera_(1986),13877
Blood_Brothers_(1988),10013
Cats_(1981),8949
Mamma_Mia!_(1999),8750
Disney's_The_Lion_King_(1999),8506
Starlight_Express_(1984),7406
Chicago_(1997_revival),6187
Wicked_(2006),5635
Buddy_-_The_Buddy_Holly_Story_(1989),5140
We_Will_Rock_You_(2002),4659
Thriller_Live_(2009),4613
Billy_Elliot_The_Musical_(2005),4566
Miss_Saigon_(1989),4264
Jersey_Boys_(2008),3787
Matilda_The_Musical!_(2011),3478
Jesus_Christ_Superstar_(1972),3357
Me_and_My_Girl_(1985_revival),3303
Evita_(1978),2900
The_Book_of_Mormon,2900
