industry,Rate
Pet_and_animal_services,22.1
Architecture_and_construction,19.9
IT_services,18.8
Entertainment,18.3
Food_beverage_abd_agriculture,18.3
Leisure_travel_and_tourism,18
Science_and_biotechnology,17.5
Religious,17.4
Arts_and_crafts,17.1
Legal_services,16.5
Home,16
Healthcare,15.9
Transportation,15.5
Real_estate,15.3
Sports_fitness_and_recreation,15.1
Journalism_publishing_and_printing,13.9
Marketing_advertising_and_PR,13
Education,12.8
Business_supplies_and_services,12.1
Government_and_politics,11.9
Restaurant_bar_and_night_club,11.8
Recruitment_and_staffing,10.5
Fashion_and_beauty,10.5
Computers_electronics_and_software,8
Nutrition_and_pharmaceuticals,8
Party_lists,7.1
Accounting_and_finance,4.9
Other,23.4
Hobbies,4.7
