Month,11.30_p.m.,12.30_a.m.
October_12_to_16_2020,0.26,0.19
August_10_to_14_2020,0.29,0.23
May_25_to_29_2020,0.34,0.26
April_20_to_24_2020,0.37,0.31
March_23_to_27_2020,0.39,0.31
February_24_to_28._2020,0.33,0.27
January_20_to_24_2020,0.36,0.31
December_23_to_27_2019,0.32,0.28
November_18_to_22_2019,0.37,0.29
October_28_to_November_1_2019,0.33,0.28
September_23_to_27_2019,0.31,0.25
August_26_to_30_2019,0.29,0.26
July_29_to_August_2_2019,0.36,0.31
July_1_to_5_2019,0.24,0.2
May_27_to_31_2019,0.36,0.3
April_29_to_May_3_2019,0.36,0.29
April_1_to_5_2019,0.43,0.43
February_25_to_March_1_2019,0.44,0.34
