Response,Exclusively_purchase_online_(100),Almost_all_of_my_purchases_(81-99),Most_of_my_purchases_(61-80),About_half_of_my_purchases_(41-60),Some_of_my_purchases_(21-40),A_few_purchases_(1-20),Don't_purchase_category_online,Don't_purchase_category_at_all
Consumer_electronics,6,6,10,10,16,27,16,10
Household_appliances,4,4,7,11,18,20,25,12
Clothing_and_footwear,4,9,14,23,23,18,7,3
Books_music_movies_and_video_games,6,8,13,17,21,21,7,7
Furniture/homeware,4,4,8,12,12,19,26,14
Sports/outdoor_equipment,4,6,10,11,17,18,17,17
Jewellery/watches,4,6,9,12,15,18,22,13
DIY/home_improvement,4,7,12,11,16,17,17,16
Grocery,5,7,9,14,15,15,23,13
Toys,5,7,12,11,16,21,13,15
Health_and_beauty,5,7,13,18,19,17,13,7
