Response,Extremely_trustworthy,Very_trustworthy,Moderately_trustworthy,Slightly_trustworthy,Not_at_all_trustworthy
Your_current_employer,19,42,28,10,1
Doctors,14,38,35,11,2
Bankers,13,35,35,11,5
Health_insurance_companies,10,28,41,14,8
Credit_card_companies,10,27,40,16,7
IRS,11,27,38,15,10
Other_insurance_companies,7,23,47,18,6
State_government,9,22,41,19,9
Federal_government,9,21,39,18,12
Major_physical_retailers,6,19,41,25,7
E-commerce_sites,6,19,42,25,8
Restaurants_and_bars,5,16,35,28,15
Social_networks,5,11,29,26,25
Online_dating_sites,5,7,23,28,37
