medical_specialty,Male,Female
Allergy_&_immunology,2939,1833
Anatomic/clinical_pathology,7983,4847
Anesthesiology,31094,10624
Cardiovascular_disease,19054,3138
Child_&_adolescent_psychiatry,435,4849
Critical_care_medicine,8529,3013
Dermatology,6151,5889
Emergency_medicine,30657,11658
Endocrinology_diabetes_&_metabolism,3815,3668
Family_medicine/general_practice,68004,45342
Gastroenterology,12135,2593
General_surgery,19865,5157
Geriatric_medicine,2653,2939
Hematology_&_oncology,10268,5122
Infectious_disease,5369,3753
Internal_medicine,71577,43770
Internal_medicine/pediatrics,2416,2704
Interventional_cardiology,3546,294
Neonatal-perinatal_medicine,2700,2826
Nephrology,7728,3057
Neurological_surgery,5065,463
Neurology,9674,4029
Neuroradiology,2958,718
Obstetrics_&_gynecology,17879,23740
Ophthalmology,14041,4767
Orthopedic_surgery,17981,1016
Otolaryngology,7890,1630
Pain_medicine_&_pain_management,4350,982
Pediatric_cardiology,1750,979
Pediatric_hematology/oncology,1302,1489
Pediatrics,21437,36945
Physical_medicine_&_rehabilitation,6032,3284
Plastic_surgery,5995,1144
Preventive_medicine,4374,2235
Psychiatry,23244,14941
Pulmonary_disease,4644,620
Radiation_oncology,3661,1365
Radiology_&_diagnostic_radiology,20601,7101
Rheumatology,3246,2622
Sports_medicine_(orthopedic_surgery),2440,172
Thoracic_surgery,4102,309
Urology,9051,866
Vascular_&_interventional_radiology,3090,325
Vascular_surgery,3204,482
