Response,Parents_of_online_teens,Online_teens
Preventing_identity_theft,50,55
Keeping_my_devices_secure,48,41
How_to_identify_fake_emails_social_posts_and_texts,37,39
How_to_determine_if_a_website_is_secure,36,35
How_to_report_serious_problems_I_encounter_online,35,25
How_young_people_are_lured_groomed_or_recruited_online,34,27
How_to_manage_my_privacy_online,33,32
Dealing_with_a_bully,33,30
Blocking_people,31,30
Risks_of_sexting,31,30
Adjusting_settings_on_social_networks,29,21
How_to_begin_a_conversation_with_(kids/my_parents)_about_staying_safe_online,16,17
