Response,Men,Women
Sending/receiving_emails,86,85
Finding_information_about_goods_and_services,83,80
Internet_banking,76,76
Using_instant_messaging_services_(eg_Skype_or_WhatsApp),69,74
Social_networking_(eg_Facebook_or_Twitter),69,72
Reading_online_news_newspapers_or_magazines,74,67
Listening_to/downloading_music,67,58
Looking_for_health-related_information_(eg_injury_disease_nutrition_improving_health_etc),53,67
Making_video_or_voice_calls_over_the_internet_(eg_via_Skype_or_Facetime),46,51
Selling_goods_or_services_over_the_internet,23,18
Playing_or_downlaoding_games,43,39
Watching_video_content_from_services_such_as_YouTube,72,61
