Response,18_to_34,35_to_54,55+
Documentaries_/_docu-series_(e.g._The_Real_World_Keeping_up_with_the_Kardashians_The_Hills_etc.),32,23,12
Competition_/_elimination_(e.g._Dancing_with_the_Stars_America's_Got_Talent_etc.),31,25,25
Makeover_/_renovation_(e.g._Extreme_Makeover_What_Not_to_Wear_etc.),24,17,11
Dating_(e.g._The_Bachelor_/_Bachelorette_etc.),16,9,4
Hidden_camera_/_amateur_content_(e.g._Impractical_Jokers_America's_Funniest_Home_Videos_etc.),22,18,12
Supernatural_(e.g._Ghost_Hunters_Paranormal_State_etc.),25,22,8
Travel_/_aspirational_(e.g._Lifestyles_of_the_Rich_and_Famous_MTV_Cribs_etc.),22,12,7
Cooking_(e.g._MasterChef_Chopped_etc.),43,41,22
Other,14,19,18
Don't_know,4,1,1
Not_applicable_-_I_do_not_typically_watch_reality_TV,18,23,39
