human,Donations_in_million_U.S._dollars
Stewart_Resnick_and_Lynda_Resnick,772.0
T._Denny_Sanford,453.5
Ernest_Rady_and_Evelyn_Rady,220.0
Phillip_(Terry)_Ragon_and_Susan_Ragon,200.0
Stephen_Schwarzman,188.0
Kenneth_Griffin,157.5
Karen_H._Huntsman,150.0
Jaffray_Woodriff_and_Merrill_Woodriff,133.5
Eli_Broad_and_Edythe_Broad,131.0
Sanford_Weill_and_Joan_Weill,125.6
Orlando_Bravo,125.0
Jane_Zimmerman_Walentas_and_David_Walentas,105.0
David_Rockefeller,103.0
Henry_Samueli_and_Susan_Samueli,100.0
James_Simons,100.0
David_Goel_and_Stacey_Goel,100.0
Raymond_Dalio_and_Barbara_Dalio,100.0
Allan_Herbert_and_Patti_Herbert,89.0
Jayne_Wrightsman,80.0
Richard_Lundquist_and_Melanie_Lundquist,76.0
William_Swindells_Jr._and_Ann_Johnson_Swindells,75.0
Robert_Challey_and_Sheila_Challey,75.0
Philip_Knight_and_Penelope_Knight,75.0
David_B._Miller_and_Carolyn_L._Miller,72.5
Sidney_Kimmel_and_Caroline_Kimmel,70.0
Frank_Sands,68.0
Fred_Luddy,60.0
Ronda_E._Stryker_and_William_D._Johnston,57.7
Allison_Rouse_and_Dorothy_Rouse,52.0
Mike_Garvey_and_Lynn_Garvey,50.0
Rick_Caruso_and_Tina_Caruso,50.0
James_Herscot_and_Carol_Herscot,50.0
J._Orin_Edson_and_Charlene_Edson,50.0
Arthur_M._Blank,50.0
Jeff_Ubben_and_Laurie_Ubben,50.0
Roy_Vagelos_and_Diana_Vagelos,50.0
