Month,Number_of_people_quarantined
Jan_06_'21,150303
Jan_05_'21,162514
Jan_04_'21,155608
Jan_03_'21,132060
Jan_02_'21,139957
Jan_01_'21,149396
Dec_31,164643
Dec_30,164847
Dec_29,159002
Dec_28,156453
Dec_27,141744
Dec_26,150399
Dec_25,161845
Dec_24,162608
Dec_23,181114
Dec_22,176634
Dec_21,163030
Dec_20,171536
Dec_19,166375
Dec_18,205175
Dec_17,208368
Dec_16,203638
Dec_15,183997
Dec_14,177899
Dec_13,191726
Dec_12,209390
Dec_11,208280
Dec_10,240381
Dec_09,219992
Dec_08,254786
Dec_07,237786
Dec_06,231300
Dec_05,253747
Dec_04,250594
Dec_03,262548
Dec_02,289972
Dec_01,268256
Nov_30,262959
Nov_29,292277
Nov_28,286117
Nov_27,336352
Nov_26,323887
Nov_25,338190
Nov_24,338769
Nov_23,334331
Nov_22,362959
Nov_21,356130
Nov_20,391837
Nov_19,408567
Nov_18,434034
Nov_17,415601
Nov_16,415174
Nov_15,409322
Nov_14,440025
Nov_13,430310
Nov_12,404352
Nov_11,431104
Nov_10,407486
Nov_9,376567
Nov_8,407579
Nov_7,441832
Nov_6,433524
Nov_5,430732
Nov_4,408121
Nov_3,421582
Nov_2,435343
Nov_1,439159
Oct_31,504706
Oct_30,496213
Oct_29,489079
Oct_28,479288
Oct_27,442109
Oct_26,445991
Oct_25,446154
Oct_24,478761
Oct_23,398851
Oct_22,378348
Oct_21,335060
Oct_20,289447
Oct_19,304567
Oct_18,320482
Oct_17,327507
Oct_16,311625
Oct_15,296020
Oct_14,249349
Oct_13,212446
Oct_12,250132
Oct_9,188629
Oct_8,171251
Oct_7,145873
Oct_6,159530
Oct_5,154365
Oct_2,139056
Oct_1,133981
Sep_30,129961
Sep_29,134588
Sep_28,136128
Sep_27,139460
Sep_26,143442
Sep_25,137023
Sep_24,125220
Sep_23,114000
Sep_22,115789
Sep_21,116871
Sep_20,118212
Sep_19,118864
Sep_18,111530
Sep_17,103425
Sep_16,94273
Sep_15,95241
Sep_14,92057
Sep_13,91819
Sep_12,90216
Sep_11,86892
Sep_10,83170
Sep_9,79124
Sep_8,76047
Sep_7,72285
Sep_4,71311
Sep_2,96664
Sep_1,96888
Aug_31,96351
Aug_28,101547
Aug_27,101678
Aug_26,99705
Aug_25,100023
Aug_24,98233
Aug_14,108309
Aug_13,108677
Aug_12,106915
Aug_11,105427
Aug_10,104167
Aug_5,100151
Aug_4,98875
Aug_3,96425
Aug_2,98282
Jul_31,97189
Jul_30,97561
Jul_29,95453
Jul_28,94920
Jul_27,92803
Jul_26,93311
Jul_24,93815
Jul_23,92577
Jul_22,90961
Jul_21,90767
Jul_20,89822
Jul_19,89956
Jul_17,86073
Jul_16,90496
Jul_15,87698
Jul_14,86747
Jul_13,85610
Jul_12,86168
Jul_11,86915
Jul_10,86712
Jul_9,85955
Jul_8,84363
Jul_7,85327
Jul_6,83767
Jul_5,83813
Jul_4,84560
Jul_3,84790
Jul_2,83521
Jul_1,83033
Jun_30,83499
Jun_29,83460
Jun_28,85603
Jun_27,89294
Jun_26,91461
Jun_25,92409
Jun_24,92992
Jun_23,93890
Jun_22,93830
Jun_21,94585
Jun_20,96795
Jun_19,97215
Jun_18,93722
Jun_17,96255
Jun_16,95641
Jun_15,94518
Jun_14,93094
Jun_13,92654
Jun_12,89609
Jun_11,88074
Jun_10,86002
Jun_9,84916
Jun_8,82921
Jun_7,82759
Jun_6,81820
Jun_5,81244
Jun_4,79341
Jun_3,78691
Jun_2,78470
Jun_1,77406
May_31,78823
May_30,80182
May_29,79995
May_28,79818
May_27,79007
May_26,78864
May_25,78259
May_24,79326
May_23,80635
May_22,77768
May_21,77461
May_20,76957
May_19,76645
May_18,80947
May_17,84542
May_16,90386
May_15,95068
May_14,96708
May_13,96062
May_12,96211
May_11,97002
May_10,100784
May_9,102996
May_8,104024
May_7,103913
May_6,101395
May_5,100765
May_4,96699
May_3,96612
May_2,95625
May_1,92458
Apr_30,88265
Apr_29,85837
Apr_28,82643
Apr_27,78878
Apr_26,79656
Apr_25,87003
Apr_24,97905
Apr_23,103129
Apr_22,98020
Apr_21,105602
Apr_20,111079
Apr_19,124311
Apr_18,118361
Apr_17,138004
Apr_16,142220
Apr_15,145875
Apr_14,144875
Apr_13,151548
Apr_12,162974
Apr_11,166974
Apr_10,158663
Apr_09,152898
Apr_08,153390
Apr_07,148130
Apr_06,143256
Apr_05,131888
Apr_04,160587
Apr_03,174997
Apr_02,183095
Mar_31,171994
Mar_24,167040
Mar_23,150746
Mar_22,128980
Mar_21,128920
Mar_20,109235
Mar_19,76764
Mar_18,57185
Mar_17,37510
Mar_16,10050
Mar_15,7535
Mar_14,4413
Mar_13,3151
Mar_12,2736
Mar_11,1193
Mar_10,1055
Mar_09,1014
Mar_08,932
Mar_07,1548
Mar_06,1299
Mar_05,490
Mar_04,349
