region_of_Ukraine,Number_of_tests
Kyiv,49405
Vinnytsia_Oblast,20747
Chernivtsi_Oblast,17237
Odessa_Oblast,16071
Dnipropetrovsk_Oblast,15573
Cherkasy_Oblast,14621
Zaporizhia_Oblast,13846
Ternopil_Oblast,13809
Rivne_Oblast,13730
Kyiv_Oblast,12799
Kharkiv_Oblast,12702
Kherson_Oblast,12157
Lviv_Oblast,10956
Zakarpattia_Oblast,10269
Kirovohrad_Oblast,9938
Ivano-Frankivsk_Oblast,9803
Khmelnytskyi_Oblast,6772
Zhytomyr_Oblast,6693
Poltava_Oblast,6443
Volyn_Oblast,6069
Chernihiv_Oblast,5499
Donetsk_Oblast,5400
Sumy_Oblast,5133
Mykolaiv_Oblast,5088
Luhansk_Oblast,1676
