Leading_players_of_the_national_football_team_of_Serbia_,Market_value_in_million_euros
Sergej_Milinkovic-Savic,90.0
Nemanja_Matic,40.0
Andrija_Zivkovic,18.0
Dusan_Tadic,15.0
Luka_Milivojevic,15.0
Adem_Ljajic,13.0
Aleksandar_Kolarov,12.0
Nikola_Milenkovic,9.0
Aleksandar_Mitrovic,8.0
Luka_Jovic,8.0
Milos_Veljkovic,6.5
Aleksandar_Prijovic,6.0
Filip_Kostic,6.0
Uros_Spajic,5.0
Marko_Grujic,5.0
Marko_Dmitrovic,4.0
Branislav_Ivanovic,3.0
Predrag_Rajkovic,2.5
Nemanja_Radonjic,2.5
Dusko_Tosic,2.0
Milan_Rodic,1.2
Antonio_Rukavina,1.0
Vladimir_Stojkovic,0.75
