NAICS_category,Number_of_businesses
Professional_scientific_and_technical_services,64515
Retail_trade,52069
Construction,50411
Health_care_and_social_assistance,46016
Other_services_(except_public_administration),40314
Unclassified,33763
Transportation_and_warehousing,31286
Accommodation_and_food_services,30706
Wholesale_trade,21575
Real_estate_and_rental_and_leasing,21497
Administrative_and_support_waste_management_and_remediation_services,20720
Manufacturing,20385
Finance_and_insurance,17389
Agriculture_forestry_fishing_and_hunting,8945
Information_and_cultural_industries,7565
Arts_entertainment_and_recreation,6430
Educational_services,5842
Management_of_companies_and_enterprises,2394
Public_administration,1294
Mining_quarrying_and_oil_and_gas_extraction,749
Utilities,534
