City_or_metro_area_in_the_U.S.,Consumer_Price_Index_(100=1982-1984)
San_Diego-Carlsbad_CA,299.43
San_Francisco-Oakland-Hayward_CA,295.0
Urban_Hawaii,281.59
Boston-Cambridge-Newton_MA-NH,281.08
New_York-Newark-Jersey_City_NY-NJ-PA,278.16
Seattle-Tacoma-Bellevue_WA,277.98
Los_Angeles-Long_Beach-Anaheim_CA,274.11
Miami-Fort_Lauderdale-West_Palm_Beach_FL,269.78
Denver-Aurora-Lakewood_CO,267.0
Washington-Arlington-Alexandria_DC-VA-MD-WV,264.78
Baltimore-Columbia-Towson_MD,256.89
Philadelphia-Camden-Wilmington_PA-NJ-DE-MD,256.62
U.S._City_Average,255.66
Minneapolis-St.Paul-Bloomington_MN-WI,250.11
Atlanta-Sandy_Springs-Roswell_GA,243.73
Chicago-Naperville-Elgin_IL-IN-WI,241.18
Dallas-Fort_Worth-Arlington_TX,237.73
Detroit-Warren-Dearborn_MI,235.27
St._Louis_MO-IL,231.19
Houston-The_Woodlands-Sugar_Land_TX,228.8
Urban_Alaska,228.68
Tampa-St._Petersburg-Clearwater_FL,228.13
