industry,Number_of_businesses
Wholesale_and_retail_trade,223955
Accommodation_and_food_service_activities,130595
Transportation,95412
Membership_organizations_repair_and_other_personal_services,69694
Manufacturing,58970
Professional_scientific_and_technical_activities,41654
Real_estate_activities_and_renting_and_leasing,41282
Education,35377
Human_health_and_social_work_activities,28824
Information_and_communications,23384
Arts_sports_and_recreation_related_services,23025
Construction,21825
Business_facilities_management_and_business_support_services,16198
Financial_and_insurance_activities,11220
Public_administration_and_defense,1282
Sewerage_waste_management_materials_recovery_and_remediation_activities,451
Electricity_gas_steam_and_water_supply,183
Agriculture_forestry_and_fishing,30
Mining_and_quarrying,24
