association_football_club,Number_of_followers_in_thousands
LA_Galaxy,1227.68
New_York_City_FC,628.16
Atlanta_United,429.11
Seattle_Sounders,298.98
Orlando_City,305.72
New_York_Red_Bulls,166.16
LAFC,385.17
Toronto_FC,211.9
Sporting_Kansas_City,146.91
Houston_Dynamo,127.96
Portland_Timbers,141.34
Montreal_Impact,105.68
Vancouver_Whitecaps,128.71
FC_Dallas,93.37
Chicago_Fire,111.73
DC_United,141.35
San_Jose_Earthquakes,81.38
Columbus_Crew,94.9
Philadelphia_Union,87.05
Real_Salt_Lake,258.72
New_England_Revolution,81.11
Minnesota_United,74.96
Colorado_Rapids,56.65
FC_Cincinnati,93.27
