leading_e-government_websites,Index_score_(100_point_scale)
SSA_Extra_Help_with_Medicare_Prescription_Drug_Plan_Costs_socialsecurity.gov/i1020,92
SSA_-_my_Social_Security_ssa.gov/myaccount,91
SSA_Retirement_Estimator_ssa.gov/estimator,90
DHS_U.S._Citizenship_and_Immigration_Services_Resource_Center_uscis.gov/portal/site/uscis/citizenship,88
TREASURY_Electronic_Federal_Tax_Payment_System_eftps.com,88
OPM_Office_of_Personnel_Management:_Retirement_Services_servicesonline.opm.gov,87
HHS_AIDSinfo_aidsinfo.nih.gov,85
HHS_National_Institute_of_Diabetes_and_Digestive_and_Kidney_Diseases_niddk.nih.gov,84
DHS_U.S._Citizenship_and_Immigration_Services_Español_uscis.gov/portal/site/uscis-es,84
SEC_U.S._Securities_and_Exchange_Commission_investor.gov,83
NASA_NASA_main_website_nasa.gov,83
FTC_FTC_Complaint_Assistant_website_ftccomplaintassistant.gov,83
HHS_Centers_for_Disease_Control_and_Prevention_cdc.gov,83
HHS_National_Heart_Lung_and_Blood_Institute_nhlbi.nih.gov,83
SSA_SSA_iClaim_–_Disability_ssa.gov/applyfordisability,83
