National_team_managers_at_the_2014_soccer_World_Cup_in_Brazil,Yearly_earnings_in_million_U.S._dollars
Fabio_Capello_(Russia),11.23
Roy_Hodgson_(England),5.87
Cesare_Prandelli_(Italy),4.32
Luiz_Felipe_Scolari_(Brazil),3.97
Ottmar_Hitzfeld_(Switzerland),3.74
Joachim_Löw_(Germany),3.6
Vicente_del_Bosque_(Spain),3.38
Louis_van_Gaal_(Holland),2.74
Alberto_Zaccheroni_(Japan),2.73
Jürgen_Klinsmann_(USA),2.62
Didier_Deschamps_(France),2.16
Paulo_Bento_(Portugal),2.16
Carlos_Queiroz_(Iran),2.1
Jorge_Sampaoli_(Chile),1.77
Jose_Pekerman_(Colombia),1.68
Ange_Postecoglou_(Australia),1.39
Oscar_Tabarez_(Uruguay),1.26
Sabri_Lamouchi_(Ivory_Coast),1.04
Vahid_Halihodzic_(Algeria),1.01
Marc_Wilmots_(Belgium),0.86
Fernando_Santos_(Greece),0.86
Alejandro_Sabella_(Argentina),0.82
Hong_Myung-Bo_(South_Korea),0.79
Luis_Fernando_Suarez_(Honduras),0.63
Reinaldo_Rueda_(Ecuador),0.57
Jorge_Luis_Pinto_(Costa_Rica),0.44
Volker_Finke_(Cameroon),0.39
Stephen_Keshi_(Nigeria),0.39
Safet_Susic_(Bosnia),0.35
Niko_Kovac_(Croatia),0.27
James_Kwesi_Appiah_(Ghana),0.25
Miguel_Herrera_(Mexico),0.21
