"Buyer_(seller,_date)",Amount_in_million_U.S._dollars
Canopy_Growth_(Bedrocan_Cannabis_Aug._2015),46.4
CSA_Holdings_(Canna_Security_America_Sept._2015),24.8
Grow_Solutions_(Light_Touch_Vein_&_Laser_Apr._2015),23.1
MMJ_Phytotech_(MMJ_Bioscience_July_2015),19.8
Canadian_Cannabis_(Hydropothecry_Oct._2015),16.3
Saratoga_Electronic_Solutions_(Abba_Medix_March_2015),6.2
Gleneagle_Gold_(Zelda_Therapeutics_Sept._2015),5.7
Canopy_Growth_(MedCannAccess_Oct._2015),4.4
Windfire_Capital_(Rosebud_Productions_Feb._2015),4.2
Mountain_High_Acquisitions_(GreenLife_BotaniX_Feb._2015),4.0
