album,Certified_sales_in_millions
Eagles_-_Eagles/Their_Greatest_Hits_1971-1975,38
Michael_Jackson_-_Thriller,33
Eagles_-_Hotel_California,26
AC/DC_-_Back_in_Black,25
The_Beatles_-_The_Beatles,24
Led_Zeppelin_-_Led_Zeppelin_IV,23
Billy_Joel_-_Greatest_Hits_Volume_I_&_Volume_II,23
Pink_Floyd_-_The_Wall,23
Garth_Brooks_-_Double_Live,21
Hootie_&_The_Blowfish_-_Cracked_Rear_View,21
Fleetwood_Mac_-_Rumours,20
Shania_Twain_-_Come_on_Over,20
Guns_N'_Roses_-_Appetite_for_Destruction,18
Whitney_Houston_-_The_Bodyguard_(Soundtrack),18
Garth_Brooks_-_No_Fences,18
Elton_John_-_Greatest_Hits,17
Boston_-_Boston,17
The_Beatles_-_The_Beatles_1967-1970,17
Alanis_Morissette_-_Jagged_Little_Pill,16
Bee_Gees_-_Saturday_Night_Fever_(Soundtrack),16
Led_Zeppelin_-_Physical_Graffiti,16
Metallica_-_Metallica,16
