Month,Price_in_U.S._dollars
06_Jan_2021,1123.16
05_Jan_2021,1017.86
04_Jan_2021,976.89
03_Jan_2021,771.48
02_Jan_2021,730.04
01_Jan_2021,741.12
Dec_2020,746.06
Nov_2020,567.68
Oct_2020,383.68
Sep_2020,357.33
Aug_2020,423.08
Jul_2020,336.21
Jun_2020,228.33
May_2020,243.63
Apr_2020,215.2
Mar_2020,133.76
Feb_2020,229.79
Jan_2020,186.26
Dec_2019,132.07
Nov_2019,153.67
Oct_2019,183.37
Sep_2019,171.01
Aug_2019,168.69
Jul_2019,210.08
Jun_2019,314.05
May_2019,253.27
Apr_2019,153.68
Mar_2019,141.94
Feb_2019,131.67
Jan_2019,107.57
Dec_2018,131.37
Nov_2018,111.49
Oct_2018,195.66
Sep_2018,231.31
Aug_2018,283.75
Jul_2018,455.52
Jun_2018,429.17
May_2018,562.18
Apr_2018,687.26
Mar_2018,411.02
Feb_2018,888.4
Jan_2018,1066.72
Dec_2017,719.83
Nov_2017,461.17
Oct_2017,308.99
Sep_2017,295.75
Aug_2017,380.71
Jul_2017,194.97
Jun_2017,288.28
May_2017,216.58
Apr_2017,75.04
Mar_2017,49.75
Feb_2017,15.86
Jan_2017,10.51
Dec_2016,8.01
Nov_2016,8.26
Oct_2016,11.44
Sep_2016,13.04
Aug_2016,11.22
Jul_2016,12.38
Jun_2016,12.49
May_2016,12.7
Apr_2016,7.65
Mar_2016,11.91
Feb_2016,6.56
Jan_2016,2.48
Dec_2015,0.96
Nov_2015,0.86
Oct_2015,0.95
Sep_2015,0.66
Aug_2015,1.25
