Oil_field_(province/territory),Cumulative_production_in_cubic_meters
Pembina_(AB),330251400
Hibernia_(NL),174190088
Swan_Hills_(AB),148289200
Judy_Creek_(AB),144846300
Redwater_(AB),139576339
Rainbow_(AB),114730700
Provost_(AB),109395200
Weyburn_(SK),93502801
Bonnie_Glen_(AB),82972300
Nipisi_(AB),78838400
Terra_Nova_(NL),65785041
Leduc-Woodbend_(AB),64504700
Mitsue_(AB),64339000
Wizard_Lake_(AB),54358800
Fenn_Big_Valley_(AB),53908200
Steelman_(SK),53257907
White_Rose/North_Amethyst_(NL),46745290
Norman_Wells_(NT),43421280
Boundary_Lake_(BC),38296908
Virginia_Hills_(AB),36846900
