Top_15_occupations,Number_of_new_jobs_in_thousand
Personal_care_aides,881.0
Combined_food_preparation_and_serving_workers_including_fast_food,640.1
Registered_nurses,371.5
Home_health_aides,304.8
Cooks_restaurant,299.0
Software_developers_applications,241.5
Waiters_and_waitresses,170.2
General_and_operations_managers,165.0
Janitors_and_cleaners_except_maids_and_housekeeping_cleaners,159.8
Medical_assistants,154.9
Construction_laborers,148.1
Laborers_and_freight_stock_and_material_movers_hand,144.0
Market_research_analysts_and_marketing_specialists,139.2
Nursing_assistants,135.4
Management_analysts,118.3
