basketball_team,Average_player_salary_in_million_U.S._dollars
Oklahoma_City_Thunder,9.43
Golden_State_Warriors,9.92
Washington_Wizards,8.5
Toronto_Raptors,8.15
Houston_Rockets,9.16
Miami_Heat,9.3
Charlotte_Hornets,8.28
Minnesota_Timberwolves,8.27
Boston_Celtics,7.81
Portland_Trail_Blazers,10.04
Cleveland_Cavaliers,9.21
Memphis_Grizzlies,7.09
San_Antonio_Spurs,7.88
Detroit_Pistons,8.47
Utah_Jazz,7.74
Denver_Nuggets,9.31
New_Orleans_Pelicans,7.73
Los_Angeles_Clippers,8.67
Orlando_Magic,9.48
Milwaukee_Bucks,8.17
Chicago_Bulls,7.45
Dallas_Mavericks,7.92
Philadelphia_76ers,8.62
Indiana_Pacers,7.46
Phoenix_Suns,7.83
Los_Angeles_Lakers,7.86
New_York_Knicks,7.08
Brooklyn_Nets,8.04
Sacramento_Kings,7.88
Atlanta_Hawks,7.48
