Industry,GDP_in_million_chained_2012_Canadian_dollars
Real_estate_and_rental_and_leasing,96526.0
Manufacturing,89281.3
Finance_and_insurance,69833.1
Professional_scientific_and_technical_services,53746.9
Public_administration,53333.8
Health_care_and_social_assistance,51032.2
Construction,50792.3
Wholesale_trade,47989.2
Educational_services,42663.9
Retail_trade,37948.0
Transportation_and_warehousing,29849.6
Information_and_cultural_industries,28697.6
Administrative_and_support_waste_management_and_remediation_services,23607.0
Accommodation_and_food_services,15733.3
Utilities,14363.7
Other_services_(except_public_administration),13764.0
Agriculture_forestry_fishing_and_hunting,8635.7
Mining_quarrying_and_oil_and_gas_extraction,6653.9
Arts_entertainment_and_recreation,6424.6
Management_of_companies_and_enterprises,3846.8
