app,Number_of_downloads_in_millions
Spotify:_Listen_to_new_music_podcasts_and_songs,9.31
YouTube_Music_-_Stream_Songs_&_Music_Videos,4.62
Tube_Music_Downloader_-_Tubeplay_mp3_Downloader,4.26
Shazam:_Discover_songs_&_lyrics_in_seconds,3.5
StarMaker:_Sing_free_Karaoke_Record_music_videos,3.08
JioSaavn_Music_&_Radio_–_JioTunes_Podcasts_Songs,2.56
Wynk_Music-_New_MP3_Hindi_Songs_Download_HelloTune,2.3
Drum_Pad_Machine_-_Beat_Maker_&_Music_Maker,2.27
Resso,2.24
Gaana_Song_Hotshots_Video_Music_Free_Hindi_MP3_App,2.12
