location,Number_of_check-ins
New_Delhi_India,2287881
São_Paulo_Brazil,2095115
New_York_USA,2052125
Paris_France,1367071
Laos_Nigeria,646411
Disneyland_California_USA,561863
Los_Angeles_International_Airport_California_USA,515500
Changi_Airport_Singapore,481513
Amsterdam_Airport_Schiphol_Netherlands,372852
Sydney_Australia,288981
The_Eiffel_Tower_Paris_France,278112
Jorge_Chávez_International_Airport_Peru,210561
O.R._Tambo_International_Airport_South_Africa,196359
The_Louvre_Museum_Paris_France,174885
The_Arena_Corinthians_Brazil,134300
The_Burj_Khalifa_UAE,133386
Melbourne_Airport_Australia,113528
The_Melbourne_Cricket_Ground_Australia,111489
The_Sydney_Opera_House_Australia,78999
National_Auditorium_Mexico,64748
The_Metropolitan_Museum_of_Modern_Art_New_York_USA,63513
The_National_Gallery_Singapore,37524
SOHO_Square_Sharm_El_Sheikh_Egypt,25434
