Country,Index_value_in_points
Monaco,91.5
Luxembourg,90.89
Liechtenstein,90.78
Switzerland,90.35
Norway,89.83
Canada,89.42
Andorra,89.24
United_Kingdom,89.18
Singapore,88.7
San_Marino,88.38
Hong_Kong_SAR_China,88.35
Sweden,88.3
Australia,88.22
Germany,87.99
Austria,87.54
Macao_SAR_China,87.34
Ireland,87.3
Denmark,86.9
Belgium,86.69
New_Zealand,86.65
United_States,86.56
Finland,86.32
Iceland,86.17
France,85.88
Netherlands,85.88
Israel,85.44
Cyprus,85.3
Lithuania,85.24
Aruba,85.17
Bahamas_The,85.02
Estonia,84.47
Faroe_Islands,84.2
Malta,84.17
Slovenia,83.4
Malaysia,83.4
Croatia,82.94
Greece,82.83
Spain,82.66
Czech_Republic,82.42
Antigua_and_Barbuda,81.96
Korea_Rep,81.83
New_Caledonia,81.28
St_Kitts_and_Nevis,81.25
Bermuda,81.08
Portugal,81.08
Slovak_Republic,80.98
Latvia,80.5
Japan,79.96
Italy,79.66
Qatar,79.4
Hungary,78.68
St_Lucia,78.61
Cayman_Islands,78.5
Mauritius,78.38
Barbados,78.06
Montenegro,77.64
Bulgaria,77.33
Palau,77.12
United_Arab_Emirates,76.76
Kuwait,76.49
Dominica,76.35
Costa_Rica,76.3
Serbia,76.13
Greenland,76.02
Panama,75.73
Uruguay,75.57
Romania,75.56
Seychelles,75.46
Poland,75.41
Trinidad_and_Tobago,75.29
Chile,75.06
Puerto_Rico,74.55
Georgia,74.41
French_Polynesia,74.27
Bahrain,73.85
Dominican_Republic,73.33
St_Vincent_and_the_Grenadines,73.03
Saudi_Arabia,73.0
Oman,72.87
Tonga,72.76
Argentina,72.68
Brunei_Darussalam,72.37
Samoa,72.27
Marshall_Islands,72.02
Grenada,71.32
Moldova,70.9
Bosnia_and_Herzegovina,70.53
Ukraine,70.38
Fiji,69.8
Jordan,69.69
Thailand,69.63
Jamaica,69.33
Suriname,69.05
Belize,69.03
Kazakhstan,68.69
Russian_Federation,68.67
North_Macedonia,68.26
Maldives,68.24
Albania,67.97
Virgin_Islands_(US),67.21
