Quarter,Net_income_in_million_U.S._dollars
Q3_'20,6331
Q2_'20,5243
Q1_'20,2535
Q4_'19,3268
Q3_'19,2134
Q2_'19,2625
Q1_'19,3561
Q4_'18,3027
Q3_'18,2883
Q2_'18,2534
Q1_'18,1629
Q4_'17,1856
Q3_'17,256
Q2_'17,197
Q1_'17,724
Q4_'16,749
Q3_'16,252
Q2_'16,857
Q1_'16,513
Q4_'15,482
Q3_'15,79
Q2_'15,92
Q1_'15,-57
Q4_'14,214
Q3_'14,-437
Q2_'14,-126
Q1_'14,108
Q4_'13,239
Q3_'13,-41
Q2_'13,-7
Q1_'13,82
Q4_'12,97
Q3_'12,-274
Q2_'12,7
Q1_'12,130
Q4_'11,177
Q3_'11,63
Q2_'11,191
Q1_'11,201
Q4_'10,416
Q3_'10,231
Q2_'10,207
Q1_'10,299
Q4_'09,384
Q3_'09,199
Q2_'09,142
Q1_'09,177
