university_and_country,Times_Higher_Education_score
University_of_Oxford_(UK),95.6
University_of_Cambridge_(UK),94.0
Imperial_College_London_(UK),89.4
ETH_Zürich_–_Swiss_Federal_Institute_of_Technology_Zürich_(CH),87.9
University_College_London_(UK),86.9
London_School_of_Economics_and_Political_Science_(UK),81.4
University_of_Edinburgh_(UK),79.4
Ludwig-Maximilians-Universität_München_(GE),78.2
King's_College_London_(UK),76.1
Karolinska_Institute_(SE),76.0
Technical_University_of_Munich_(GE),74.8
Heidelberg_University_(GE),74.3
École_Polytechnique_Fédérale_de_Lausanne_(CH),74.1
KU_Leuven_(BE),73.7
Paris_Sciences_et_Lettres_–_PSL_Research_University,73.6
University_of_Manchester_(UK),70.9
Wageningen_University_and_Research_Center_(NE),69.4
University_of_Amsterdam_(NE),68.8
Leiden_University_(NE),66.7
Erasmus_University_Rotterdam_(NE),66.2
