Response,Share_of_responding_businesses
Retail_or_wholesale_(incl._online_shops),18
Other,15
Media_communication_or_information_(e.g._broadcasting_telecoms_computer_programming),14
Arts_entertainment_or_recreation_(e.g._museum_creative_arts_sports_club),9
Personal_services_(e.g._beauty_and_wellness_repair_of_household_goods),7
Restaurant/café_or_other_food_services,7
Professional_services_(e.g._financial_services_consulting_travel_agents_business_services),7
Construction_or_home_repair,4
Healthcare_(e.g._dentist_senior_care),4
Accommodation_(e.g._hotels_camping_grounds),4
Education_(e.g._schools_tutoring_driving_school),3
Automotive_repair_or_services,2
Real_estate_(e.g._brokerage_leasing_management),1
Transportation_or_storage_(e.g._taxi_warehousing),1
Non-profit/charity_organization,1
Manufacturing,1
