university,Number_of_students
La_Sapienza_University_of_Rome,101034
University_of_Bologna,81260
University_of_Naples_Federico_II,76665
University_of_Turin,72465
University_of_Milan,61721
University_of_Padua,59364
University_of_Florence,52707
Polytechnic_University_of_Milan,45622
University_of_Pisa,45502
University_of_Bari,43464
University_of_Catania,41951
University_of_Palermo,40076
Catholic_University_of_Milan,39499
University_of_Salerno,35775
University_of_Milano-Bicocca,33806
Polytechnic_University_of_Turin,33404
University_of_Genoa,32349
Roma_Tre_University,32488
Pegaso_online_University,29962
University_of_Rome_Tor_Vergata,29420
