Latest_available_time_period_in_brackets,Male,Female
United_Kingdom_(2005),25,40
Germany_(2001-02),26,36
Canada_(2010),25,37
Netherlands_(2005-06),22,37
Australia_(2006),22,36
Ireland_(2005),16,40
Spain_(2009-10),20,36
Japan_(2011),16,37
Belgium_(2005),22,31
Finland_(2009-10),23,29
Denmark_(2001),22,30
Italy_(2008),18,33
New_Zealand_(2009-10),17,30
Estonia_(2009-2010),20,27
Poland_(2003-04),18,28
United_States_(2014),18,28
Hungary_(1999-2000),17,26
France_(2009),18,25
Austria_(2008-09),16,26
China_(2008),15,25
Norway_(2010),16,23
Slovenia_(2000-01),15,20
Mexico_(2009),13,20
Portugal_(1999),10,19
Sweden_(2010),13,16
Turkey_(2006),14,14
Korea_(2009),6,20
India_(1999),14,9
South_Africa_(2010),8,11
