Influencers,Number_of_subscribers
SQUEEZIE,13.8
Cyprien,13.4
NORMAN_FAIT_DES_VIDÉOS,11.7
Rémi_GAILLARD,6.93
Tibo_InShape,6.56
CyprienGaming,6.48
Amixem,5.92
Mister_V,5.31
Mcfly_&_Carlito,5.16
Le_Rire_Jaune,5.03
Natoo,4.94
Swan_The_Voice_-_Néo_&_Swan,4.39
IbraTV,4.33
SUP3R_KONAR_!,4.32
HugoPOSAY,4.28
Le_Bled'Art,4.25
SEB,4.24
Monde_des_Titounis,3.85
ANDY,3.66
Le_Woop,3.63
EnjoyPhoenix,3.61
Golden_Moustache,3.58
GOTAGA,3.51
FastGoodCuisine,3.48
LaChaineDeJeremy,3.45
Dr_Nozman,3.39
joueurdugrenier,3.35
Studio_Bagel,3.34
VodKprod,3.22
Lolywood,3.16
