Month,Subway,Road_transport,Car_sharing,Local_electric_trains,Taxi,Number_of_personal_cars
Jul_21_9am,-27,-27,0,-21,-10,4
Jul_18_2pm,-24,-19,0,-29,-2,6
Jul_17_9am,-27,-21,0,-22,-9,6
Jul_16_9am,-27,-24,0,-23,-14,4
Jul_14_9am,-29,-25,0,-25,-10,2
Jul_12_2pm,-25,-18,0,-37,-2,5
Jul_11_2pm,-25,-23,0,-37,-5,5
Jul_10_9am,-29,-28,-35,-24,-11,6
Jul_9_7pm,-33,-34,-35,-27,-7,6
Jul_6_9am,-31,-29,0,-30,-11,3
Jul_5_2pm,-26,-26,0,-38,-3,3
Jul_3_9am,-33,-30,0,-34,-11,3
Jul_2_9am,-34,-29,0,-35,-14,7
Jun_30_9am,-35,-33,0,-37,-13,2
Jun_28_2pm,-37,-38,0,-45,-6,1
Jun_27_2pm,-29,-19,0,-36,-7,4
Jun_25_9am,-39,-29,0,-40,-4,2
Jun_23_9am,-41,-32,0,-41,-16,1
Jun_22_9am,-41,-34,0,-45,-23,-2
Jun_21_2pm,-43,-45,0,-46,-7,-4
Jun_19_9am,-44,-45,0,-46,-21,-10
Jun_18_9am,-44,-42,0,-10,-18,-7
Jun_17_9am,-45,-43,0,-46,-11,-8
Jun_16_9am,-46,-37,0,-53,-19,-5
Jun_15_9am,-45,-27,0,-52,-25,-1
Jun_14_2pm,-47,-52,0,-59,-20,-6
Jun_13_2pm,-57,-54,0,-59,-26,-17
Jun_12_2pm,-48,-57,-55,-49,-19,-1
Jun_11_10am,-55,-46,0,-50,-22,-10
Jun_10_10am,-55,-46,-99,-56,-21,-13
Jun_9_11am,-58,-56,0,-65,-25,-15
Jun_8_10am,-62,-53,0,-64,-27,-16
Jun_5_10am,-65,-62,0,-65,-38,-23
Jun_4_10am,-66,-64,0,-64,-35,-24
Jun_3_10am,-67,-65,0,-65,-37,-24
Jun_2_10am,-68,-66,0,-65,-31,-24
Jun_1_9am,-67,-66,0,-66,-33,-20
May_29_10am,-73,-70,0,-66,-42,-31
May_28_10am,-72,-70,0,-66,-39,-31
May_27_10am,-73,-71,0,-66,-39,-31
May_26_10:30am,-73,-73,0,-66,-38,-31
May_25_10am,-73,-73,0,-66,-41,-31
May_22_10am,-75,-74,-100,-65,-48,-36
May_21_10am,-75,-74,-100,-65,-54,-37
May_20_10:30am,-75,-74,-100,-66,-46,-37
May_19_10:30am,-76,-74,-100,-66,-45,-38
May_18_10am,-76,-75,-100,-67,-43,-36
May_15_10am,-77,-78,-100,-69,-54,-41
May_14_10am,-78,-78,-100,-67,-51,-39
May_13_10am,-79,-79,-100,-69,-49,-40
May_12_10am,-78,-81,-100,-69,-45,-38
May_6_10am,-81,-81,-100,-69,-55,-49
Apr_30_10am,-83,-82,-100,-69,-61,-49
Apr_29_10am,-83,-82,-100,-70,-56,-50
Apr_28_10am,-82,-81,-100,-73,-56,-52
Apr_27_10am,-82,-82,-100,-69,-54,-58
Apr_24_10am,-84,-83,-100,-69,-62,-63
Apr_23_10am,-84,-83,-100,-69,-59,-63
Apr_22_10am,-84,-83,-100,-70,-56,-55
Apr_21_10am,-84,-83,-100,-70,-58,-57
Apr_20_10am,-84,-83,-100,-68,-58,-60
Apr_17_10am,-85,-84,-100,-67,-64,-64
Apr_16_10am,-85,-83,-100,-68,-63,-66
Apr_15_10am,-85,-81,-100,-68,-60,-59
Apr_14_10:30am,-84,-82,-100,-67,-55,-54
Apr_13_10am,-83,-80,-100,-67,-56,-55
Apr_10_10am,-80,-78,-59,-65,-62,-59
Apr_9_10am,-80,-78,-60,-66,-58,-62
Apr_8_10am,-81,-77,-61,-66,-57,-59
Apr_7_10am,-80,-79,-60,-67,-56,-54
Apr_6_10am,-80,-79,-65,-66,-57,-52
Apr_3_10am,-84,-75,-71,-65,-64,-62
Apr_2_10am,-84,-75,-63,-67,-63,-64
Apr_1_11am,-83,-71,-61,-64,-59,-59
Mar_31_10am,-82,-72,-61,-64,-64,-50
Mar_27_10am,-44,-41,-32,-35,-31,-5
Mar_26_10am,-43,-39,-23,-35,-23,-6
Mar_25_10am,-44,-32,-26,-32,-23,-4
