Android_platform_version,Android_10,Pie_9,Oreo_8.1,Oreo_8.0,Nougat_7.1,Nougat_7.0,Marshmallow_6.0,Lollipop_5.1,Lollipop_5.0,KitKat_4.4,Jelly_Bean_4.3,Jelly_Bean_4.2.x,Jelly_Bean_4.1.x,Ice_Cream_Sandwich_4.0.3_-_4.0.4,Honeycomb_3.2,Gingerbread_2.3.3_-_2.3.7,Froyo_2.2
1H_'20,8.3,31.3,14,7.3,5.4,7.5,11.2,7.4,1.8,4,0.3,0.8,0.6,0.2,0,0,0
1H_'19,0,10.4,15.4,12.9,7.8,11.4,16.9,11.5,3,6.9,0.5,1.5,1.2,0.3,0,0.3,0
2H_'18,0,0,5.8,13.4,10.3,19,21.6,14.7,3.6,7.8,0.5,1.6,1.1,0.3,0,0.3,0
1H_'18,0,0,0.8,4.9,8.2,22.9,25.5,17.6,4.8,10.3,0.6,2.2,1.5,0.4,0,0.3,0
2H_'17,0,0,0,0,1.6,14.2,32.2,21.7,7.1,15.1,1,3.5,2.4,0.6,0,0.6,0
1H_'17,0,0,0,0,0.5,6.6,31.2,23.3,8.7,18.8,1.3,4.6,3.2,0.8,0,1,0
2H_'16,0,0,0,0,0,0,18.7,21.9,13.1,27.7,2.3,7.7,5.6,1.4,0,1.5,0.1
1H_'16,0,0,0,0,0,0,7.5,19.4,16.2,32.5,2.9,10,7.2,2,0,2.2,0.1
2H_'15,0,0,0,0,0,0,0,7.9,15.6,38.9,4.3,14.5,11.4,3.4,0,3.8,0.2
1H_'15,0,0,0,0,0,0,0,0,1.6,39.7,6.3,19.8,18.4,6.4,0,7.4,0.4
2H_'14,0,0,0,0,0,0,0,0,0,24.5,8,20.7,25.1,9.6,0,11.4,0.7
1H_'14,0,0,0,0,0,0,0,0,0,13.6,10.3,19.1,29,12.3,0,14.9,0.8
2013,0,0,0,0,0,0,0,0,0,0,0,0,48.6,20.6,0.1,28.5,2.2
